,competicion,nombre_Equipo,escudo,plantilla,edad_media,extranjeros,valor
78,4.0,FC Paris Saint-Germain,//tmssl.akamaized.net//images/wappen/head/583.png?lm=1464899851,25,"25,6",16,"455,90 mill. €"
79,4.0,Olympique Lyonnais,//tmssl.akamaized.net//images/wappen/head/1041.png?lm=1442954751,26,"24,6",8,"200,80 mill. €"
80,4.0,AS Monaco,//tmssl.akamaized.net//images/wappen/head/162.png?lm=1463176069,25,"24,9",25,"197,80 mill. €"
81,4.0,OGC Nice,//tmssl.akamaized.net//images/wappen/head/417.png?lm=1408779490,30,"24,0",11,"114,18 mill. €"
82,4.0,Olympique de Marseille,//tmssl.akamaized.net//images/wappen/head/244.png?lm=1485642163,30,"25,8",12,"108,90 mill. €"
83,4.0,AS Saint-Étienne,//tmssl.akamaized.net//images/wappen/head/618.png?lm=1408778971,28,"26,0",10,"77,80 mill. €"
84,4.0,FC Girondins de Bordeaux,//tmssl.akamaized.net//images/wappen/head/40.png?lm=1408779366,27,"25,2",16,"68,05 mill. €"
85,4.0,Toulouse FC,//tmssl.akamaized.net//images/wappen/head/415.png?lm=1408779599,30,"24,6",16,"65,35 mill. €"
86,4.0,LOSC Lille Métropole,//tmssl.akamaized.net//images/wappen/head/1082.png?lm=1406739677,25,"25,2",14,"54,75 mill. €"
87,4.0,Stade Rennais FC,//tmssl.akamaized.net//images/wappen/head/273.png?lm=1408779098,30,"25,6",13,"52,90 mill. €"
88,4.0,FC Lorient,//tmssl.akamaized.net//images/wappen/head/1158.png?lm=1406642498,30,"25,9",11,"46,60 mill. €"
89,4.0,FC Nantes,//tmssl.akamaized.net//images/wappen/head/995.png?lm=1459072377,27,"24,7",15,"43,80 mill. €"
90,4.0,SCO Angers,//tmssl.akamaized.net//images/wappen/head/1420.png?lm=1408780502,30,"27,1",14,"40,35 mill. €"
91,4.0,Montpellier Hérault SC,//tmssl.akamaized.net//images/wappen/head/969.png?lm=1459072367,26,"26,4",13,"38,30 mill. €"
92,4.0,EA Guingamp,//tmssl.akamaized.net//images/wappen/head/855.png?lm=1408706205,26,"27,6",7,"36,75 mill. €"
93,4.0,FC Metz,//tmssl.akamaized.net//images/wappen/head/347.png?lm=1420389393,28,"26,4",15,"33,90 mill. €"
94,4.0,SM Caen,//tmssl.akamaized.net//images/wappen/head/1162.png?lm=1465134639,28,"27,5",11,"32,55 mill. €"
95,4.0,SC Bastia,//tmssl.akamaized.net//images/wappen/head/595.png?lm=1408706105,26,"26,4",9,"29,60 mill. €"
96,4.0,AS Nancy-Lorraine,//tmssl.akamaized.net//images/wappen/head/1159.png?lm=1408780272,27,"27,0",10,"22,30 mill. €"
97,4.0,Dijon FCO,//tmssl.akamaized.net//images/wappen/head/2969.png?lm=1408780404,27,"27,0",9,"21,93 mill. €"
98,5.0,Fenerbahce Istanbul,//tmssl.akamaized.net//images/wappen/head/36.png?lm=1406739123,25,"28,4",14,"142,55 mill. €"
99,5.0,Besiktas Istanbul,//tmssl.akamaized.net//images/wappen/head/114.png?lm=1443717097,27,"28,5",17,"125,55 mill. €"
100,5.0,Galatasaray Istanbul,//tmssl.akamaized.net//images/wappen/head/141.png?lm=1406739071,29,"26,6",15,"100,18 mill. €"
101,5.0,Medipol Basaksehir,//tmssl.akamaized.net//images/wappen/head/6890.png?lm=1442608560,26,"29,5",9,"59,00 mill. €"
102,5.0,Trabzonspor,//tmssl.akamaized.net//images/wappen/head/449.png?lm=1465316593,24,"26,5",11,"58,90 mill. €"
103,5.0,Osmanlispor FK,//tmssl.akamaized.net//images/wappen/head/2944.png?lm=1483278965,28,"27,8",17,"50,90 mill. €"
104,5.0,Bursaspor,//tmssl.akamaized.net//images/wappen/head/20.png?lm=1441719256,29,"26,7",10,"44,30 mill. €"
105,5.0,Kasimpasa,//tmssl.akamaized.net//images/wappen/head/10484.png?lm=1408653850,27,"25,9",14,"34,75 mill. €"
106,5.0,Antalyaspor,//tmssl.akamaized.net//images/wappen/head/589.png?lm=1473110173,26,"28,1",16,"32,23 mill. €"
107,5.0,Atiker Konyaspor,//tmssl.akamaized.net//images/wappen/head/2293.png?lm=1408654134,25,"27,0",12,"31,50 mill. €"
108,5.0,Aytemiz Alanyaspor,//tmssl.akamaized.net//images/wappen/head/11282.png?lm=1415443408,27,"27,6",16,"31,30 mill. €"
109,5.0,Gaziantepspor,//tmssl.akamaized.net//images/wappen/head/524.png?lm=1408654192,29,"26,9",16,"30,30 mill. €"
110,5.0,Akhisar Belediye Genclik ve Spor,//tmssl.akamaized.net//images/wappen/head/19771.png?lm=1484761303,28,"28,5",11,"29,75 mill. €"
111,5.0,Kayserispor,//tmssl.akamaized.net//images/wappen/head/3205.png?lm=1407562691,24,"27,1",14,"29,45 mill. €"
112,5.0,Caykur Rizespor,//tmssl.akamaized.net//images/wappen/head/126.png?lm=1443714784,27,"25,1",16,"27,95 mill. €"
113,5.0,Kardemir Karabükspor,//tmssl.akamaized.net//images/wappen/head/1506.png?lm=1407228551,28,"28,7",16,"25,25 mill. €"
114,5.0,Genclerbirligi Ankara,//tmssl.akamaized.net//images/wappen/head/820.png?lm=1408653608,26,"26,9",14,"22,68 mill. €"
115,5.0,Adanaspor,//tmssl.akamaized.net//images/wappen/head/6.png?lm=1442130460,28,"25,1",13,"18,70 mill. €"
