,Jugador,Temporada,Competicion,Club,Plantilla,Alineaciones,Puntos por partido,Goles,PasesGol,GolesPropiaMeta,CambiosFuera,CambiosDentro,Amarillas,DobleAmarillas,Rojas,PenaltisAnotados,MinutosPorGol,MinutosJugados,GolesEnContra,PartidoSinGolEnContra
49068,2032.0,16/17,Liga de Campeones de la UEFA,FC Paris Saint-Germain,7,1,"3,00",-,-,-,-,-,-,-,-,-,-,90',-,1
49069,2032.0,16/17,Ligue 1,FC Paris Saint-Germain,23,11,"2,36",-,-,-,-,1,-,-,-,-,-,954',4,9
49070,2032.0,16/17,Coupe de la Ligue,FC Paris Saint-Germain,2,1,"3,00",-,-,-,-,-,-,-,-,-,-,90',1,-
49071,2032.0,16/17,Coupe de France,FC Paris Saint-Germain,1,1,"3,00",-,-,-,-,-,-,-,-,-,-,90',-,1
49072,2032.0,16/17,Trophée des Champions,FC Paris Saint-Germain,1,1,"3,00",-,-,-,-,-,-,-,-,-,-,90',1,-
49073,2032.0,15/16,Ligue 1,FC Paris Saint-Germain,36,35,"2,49",-,-,-,-,1,-,-,-,-,-,3.105',19,19
49074,2032.0,15/16,Liga de Campeones de la UEFA,FC Paris Saint-Germain,10,10,"2,00",-,-,-,-,-,1,-,-,-,-,900',6,5
49075,2032.0,15/16,Coupe de France,FC Paris Saint-Germain,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
49076,2032.0,15/16,Coupe de la Ligue,FC Paris Saint-Germain,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
49077,2032.0,15/16,Trophée des Champions,FC Paris Saint-Germain,1,1,"3,00",-,-,-,-,-,-,-,-,-,-,90',-,1
49078,2032.0,14/15,1.Bundesliga,Eintracht de Francfort,22,22,"1,18",-,-,-,-,1,1,-,-,-,-,1.980',35,5
49079,2032.0,14/15,DFB-Pokal,Eintracht de Francfort,1,1,"3,00",-,-,-,-,-,-,-,-,-,-,90',-,1
49080,2032.0,13/14,1.Bundesliga,Eintracht de Francfort,34,34,"1,06",-,-,-,-,1,2,-,-,-,-,3.047',56,9
49081,2032.0,13/14,Europa League,Eintracht de Francfort,10,9,"2,22",-,-,-,-,-,-,-,-,-,-,810',10,5
49082,2032.0,13/14,DFB-Pokal,Eintracht de Francfort,3,3,"2,00",-,-,-,-,-,-,-,-,-,-,270',3,1
49083,2032.0,12/13,1.Bundesliga,Eintracht de Francfort,26,26,"1,50",-,-,-,-,-,-,-,-,-,-,2.340',37,6
49084,2032.0,12/13,DFB-Pokal,Eintracht de Francfort,1,1,"0,00",-,-,-,-,-,-,-,1,-,-,19',-,1
49085,2032.0,11/12,1.Bundesliga,1.FC Kaiserslautern,31,23,"0,78",-,-,-,-,-,1,-,-,-,-,2.070',32,2
49086,2032.0,11/12,Regionalliga West (bis 11/12),1.FC Kaiserslautern II,1,1,"3,00",-,-,-,-,-,-,-,-,-,-,90',-,1
49087,2032.0,11/12,DFB-Pokal,1.FC Kaiserslautern,3,3,"2,00",-,-,-,-,-,-,-,-,-,-,300',3,2
49088,2032.0,10/11,1.Bundesliga,1.FC Kaiserslautern,33,9,"2,33",-,-,-,-,-,-,-,-,-,-,810',9,3
49089,2032.0,10/11,Regionalliga West (bis 11/12),1.FC Kaiserslautern II,4,4,"2,00",-,-,-,-,-,1,-,-,-,-,360',2,2
49090,2032.0,10/11,DFB-Pokal,1.FC Kaiserslautern,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
49091,2032.0,09/10,Regionalliga West (bis 11/12),1.FC Kaiserslautern II,16,15,"1,40",-,-,-,-,-,1,-,-,-,-,1.350',20,4
49092,2032.0,09/10,DFB-Pokal,1.FC Kaiserslautern,1,1,"3,00",-,-,-,-,-,-,-,-,-,-,90',-,1
49093,2032.0,08/09,Regionalliga West (bis 11/12),1.FC Kaiserslautern II,19,19,"1,68",-,-,-,-,-,-,-,-,-,-,1.710',22,6
