,Jugador,Temporada,Dato,Ultimo_club,Nuevo_club,Valor,Coste
13682,2032.0,15/16,08/07/2015,E. de Francfort,Paris SG,"8,00 mill. €","9,50 mill. €"
13683,2032.0,12/13,01/07/2012,1.FC K'lautern,E. de Francfort,"3,00 mill. €","1,50 mill. €"
13684,2032.0,08/09,01/07/2008,K'lautern U19,1.FC K'lautern,-,-
13685,2032.0,06/07,01/01/2007,K'lautern U17,K'lautern U19,-,-
13686,2033.0,15/16,30/06/2016,Villarreal CF,Paris SG,"7,50 mill. €",Fin de préstamo
13687,2033.0,15/16,01/07/2015,Paris SG,Villarreal CF,"4,00 mill. €",Préstamo
13688,2033.0,14/15,30/06/2015,SC Bastia,Paris SG,"4,00 mill. €",Fin de préstamo
13689,2033.0,14/15,26/07/2014,Paris SG,SC Bastia,"1,50 mill. €",Préstamo
13690,2033.0,13/14,30/06/2014,Lens,Paris SG,"1,50 mill. €",Fin de préstamo
13691,2033.0,13/14,23/07/2013,Paris SG,Lens,600 miles €,Préstamo
13692,2033.0,10/11,01/07/2010,Paris SG U19,Paris SG,-,-
13693,2034.0,16/17,01/07/2016,PSG B,Paris SG,-,-
13694,2034.0,15/16,01/07/2015,Paris SG U19,PSG B,-,-
13695,2035.0,13/14,19/07/2013,AS Roma,Paris SG,"15,00 mill. €","31,40 mill. €"
13696,2035.0,12/13,03/01/2013,Corinthians,AS Roma,750 miles €,"5,70 mill. €"
13697,2035.0,12/13,02/01/2013,AS Roma,Corinthians,750 miles €,Fin de préstamo
13698,2035.0,12/13,21/08/2012,Corinthians,AS Roma,750 miles €,"Tarifa de préstamo:1,50 mill. €"
13699,2035.0,11/12,01/01/2012,Corinthians B,Corinthians,-,-
13700,2036.0,12/13,14/07/2012,AC Milan,Paris SG,"38,00 mill. €","42,00 mill. €"
13701,2036.0,08/09,01/01/2009,Fluminense,AC Milan,"7,50 mill. €","10,00 mill. €"
13702,2036.0,06/07,01/01/2007,Dinamo Moskva,Fluminense,"3,50 mill. €",?
13703,2036.0,06/07,31/12/2006,Fluminense,Dinamo Moskva,"3,50 mill. €",Fin de préstamo
13704,2036.0,05/06,01/01/2006,Dinamo Moskva,Fluminense,"3,50 mill. €",Préstamo
13705,2036.0,05/06,01/07/2005,FC Porto,Dinamo Moskva,"3,50 mill. €","3,50 mill. €"
13706,2036.0,04/05,01/01/2005,Juventude,FC Porto,-,"2,50 mill. €"
13707,2036.0,03/04,01/01/2004,RS Futebol,Juventude,-,?
13708,2037.0,15/16,01/07/2015,PSG B,Paris SG,-,-
13709,2037.0,14/15,01/07/2014,Paris SG U19,PSG B,-,-
13710,2038.0,15/16,27/08/2015,Monaco,Paris SG,"10,00 mill. €","25,00 mill. €"
13711,2038.0,10/11,01/07/2010,Monaco B,Monaco,-,-
13712,2039.0,11/12,12/01/2012,FC Barcelona,Paris SG,"7,00 mill. €","3,50 mill. €"
13713,2039.0,09/10,15/07/2009,Inter,FC Barcelona,"13,50 mill. €","4,50 mill. €"
13714,2039.0,05/06,30/06/2006,FC Empoli,Inter,"4,00 mill. €",Fin de préstamo
13715,2039.0,05/06,04/01/2006,Inter,FC Empoli,"9,00 mill. €",Préstamo
13716,2039.0,05/06,03/01/2006,AFC Ajax,Inter,"9,00 mill. €",Libre
13717,2039.0,01/02,01/07/2001,Cruzeiro,AFC Ajax,-,"3,50 mill. €"
13718,2039.0,99/00,01/01/2000,Cruzeiro B,Cruzeiro,-,-
13719,2040.0,15/16,01/07/2015,Toulouse,Paris SG,"10,00 mill. €","10,00 mill. €"
13720,2040.0,14/15,30/06/2015,Paris SG,Toulouse,"10,00 mill. €",Fin de préstamo
13721,2040.0,14/15,23/07/2014,Toulouse,Paris SG,"6,50 mill. €",Préstamo
13722,2040.0,11/12,26/01/2012,Lens,Toulouse,"2,00 mill. €","1,30 mill. €"
13723,2040.0,10/11,01/07/2010,RC Lens B,Lens,-,-
13724,2040.0,09/10,01/12/2009,RC Lens U19,RC Lens B,-,-
13725,2041.0,16/17,03/07/2016,Club Brugge,Paris SG,"6,00 mill. €","6,00 mill. €"
13726,2041.0,11/12,01/07/2011,RE Virton,Club Brugge,300 miles €,200 miles €
13727,2041.0,09/10,01/07/2009,RE Virton U19,RE Virton,-,-
13728,2041.0,06/07,01/07/2006,Standard Jugend,RE Virton U19,-,Libre
13729,2042.0,16/17,03/07/2016,Sevilla FC,Paris SG,"30,00 mill. €","33,60 mill. €"
13730,2042.0,14/15,23/07/2014,Reims,Sevilla FC,"5,00 mill. €","5,50 mill. €"
13731,2042.0,12/13,01/07/2012,G. Bordeaux,Reims,"1,00 mill. €",800 miles €
13732,2042.0,11/12,30/06/2012,FC Nantes,G. Bordeaux,"1,00 mill. €",Fin de préstamo
13733,2042.0,11/12,17/11/2011,G. Bordeaux,FC Nantes,"1,00 mill. €",Préstamo
13734,2042.0,10/11,30/06/2011,Reims,G. Bordeaux,"1,00 mill. €",Fin de préstamo
13735,2042.0,09/10,26/11/2009,G. Bordeaux,Reims,100 miles €,Préstamo
13736,2042.0,09/10,01/07/2009,G. Bordeaux B,G. Bordeaux,100 miles €,-
13737,2042.0,08/09,01/07/2008,Bordeaux U19,G. Bordeaux B,100 miles €,-
13738,2042.0,06/07,01/01/2007,Arka Gdynia U19,Bordeaux U19,-,270 miles €
13739,2042.0,04/05,01/01/2005,Stal Szczecin,Arka Gdynia U19,-,-
