,Avatar,Nombre,Nombre_Completo,Dorsal,Nacionalidad,bandera_pais,valor,Equipo,Altura,Pie,Edad,Fecha_nacimiento,Contrato_hasta,Posicion,Fichado,Agente,Lugar_nacimiento,Proveedror
2032,tmssl.akamaized.net//images/portrait/header/45672-1407140095.jpg?lm=1433144613,Kevin Trapp,-,1,Alemania,//tmssl.akamaized.net//images/flagge/verysmall/40.png?lm=1396275477,"10,00 mill. € ",78.0,"1,89m",derecho,26,08/07/1990,30.06.2020,Portero,08/07/2015,Jörg Neubauer,Merzig  ,adidas
2033,tmssl.akamaized.net//images/portrait/header/120629-1447254969.jpg?lm=1447254999,Alphonse Aréola,-,16,Francia,//tmssl.akamaized.net//images/flagge/verysmall/50.png?lm=1396275450,"10,00 mill. € ",78.0,"1,91m",derecho,23,27/02/1993,30.06.2019,Portero,01/07/2010,WB-Sportmanagement,Paris  ,-
2034,tmssl.akamaized.net//images/portrait/header/default.jpg?lm=1455618221,Rémy Descamps,-,40,Francia,//tmssl.akamaized.net//images/flagge/verysmall/50.png?lm=1396275450,150 miles € ,78.0,-,izquierdo,20,25/06/1996,30.06.2019,Portero,01/07/2016,Henri Zambelli,Marcq-en-Barœul  ,-
2035,tmssl.akamaized.net//images/portrait/header/181767-1425291803.jpg?lm=1433143839,Marquinhos,-,5,Brasil,//tmssl.akamaized.net//images/flagge/verysmall/26.png?lm=1396275477,"32,00 mill. € ",78.0,"1,80m",derecho,22,14/05/1994,30.06.2019,Defensa - Defensa central,19/07/2013,Euro Export Assessoria e Propaganda Ltda.,São Paulo  ,-
2036,tmssl.akamaized.net//images/portrait/header/29241-1462893880.jpg?lm=1462893892,Thiago Silva,Thiago Emiliano da Silva,2,Brasil,//tmssl.akamaized.net//images/flagge/verysmall/26.png?lm=1396275477,"16,00 mill. € ",78.0,"1,83m",derecho,32,22/09/1984,30.06.2020,Defensa - Defensa central,14/07/2012,Paulo Tonietto,Rio de Janeiro  ,Nike
2037,tmssl.akamaized.net//images/portrait/header/282041-1448017427.jpg?lm=1448017457,Presnel Kimpembe,-,3,Francia,//tmssl.akamaized.net//images/flagge/verysmall/50.png?lm=1396275450,"8,00 mill. € ",78.0,"1,88m",izquierdo,21,13/08/1995,30.06.2021,Defensa - Defensa central,01/07/2015,FDF,Beaumont-sur-Oise  ,Nike
2038,tmssl.akamaized.net//images/portrait/header/126710-1413961428.jpg?lm=1433143559,Layvin Kurzawa,-,20,Francia,//tmssl.akamaized.net//images/flagge/verysmall/50.png?lm=1396275450,"23,00 mill. € ",78.0,"1,82m",izquierdo,24,04/09/1992,30.06.2020,Defensa - Lateral izquierdo,27/08/2015,Léandre Chouya,Fréjus  ,Nike
2039,tmssl.akamaized.net//bilder/spielerfotos/s_4317_583_2013_10_24_1.jpg?lm=0,Maxwell,-,17,Brasil,//tmssl.akamaized.net//images/flagge/verysmall/26.png?lm=1396275477,"1,00 mill. € ",78.0,"1,76m",izquierdo,35,27/08/1981,30.06.2017,Defensa - Lateral izquierdo,12/01/2012,Mino Raiola,Cachoeiro de Itapemirim  ,-
2040,tmssl.akamaized.net//images/portrait/header/127032-1479730792.jpg?lm=1479730807,Serge Aurier,Serge Alain Stephane Aurier,19,Costa de Marfil,//tmssl.akamaized.net//images/flagge/verysmall/38.png?lm=1396275488,"15,00 mill. € ",78.0,"1,75m",derecho,24,24/12/1992,30.06.2019,Defensa - Lateral derecho,01/07/2015,-,Ouragahio  ,Nike
2041,tmssl.akamaized.net//images/portrait/header/100986-1464867358.jpg?lm=1464867376,Thomas Meunier,-,12,Bélgica,//tmssl.akamaized.net//images/flagge/verysmall/19.png?lm=1396275450,"7,50 mill. € ",78.0,"1,90m",derecho,25,12/09/1991,30.06.2020,Defensa - Lateral derecho,03/07/2016,Eleven Management,Sainte-Ode  ,adidas
