,competicion,nombre_Equipo,escudo,plantilla,edad_media,extranjeros,valor
40,2.0,Juventus de Turín,//tmssl.akamaized.net//images/wappen/head/506.png?lm=1461750716,26,"28,0",15,"447,80 mill. €"
41,2.0,SSC Napoli,//tmssl.akamaized.net//images/wappen/head/6195.png?lm=1437135876,25,"26,8",18,"324,75 mill. €"
42,2.0,Inter de Milán,//tmssl.akamaized.net//images/wappen/head/46.png?lm=1406106969,27,"27,3",19,"316,50 mill. €"
43,2.0,AS Roma,//tmssl.akamaized.net//images/wappen/head/12.png?lm=1438188314,24,"27,3",20,"289,00 mill. €"
44,2.0,AC Milan,//tmssl.akamaized.net//images/wappen/head/5.png?lm=1438547172,28,"26,4",12,"223,40 mill. €"
45,2.0,ACF Fiorentina,//tmssl.akamaized.net//images/wappen/head/430.png?lm=1437135860,25,"25,9",19,"176,15 mill. €"
46,2.0,Lazio,//tmssl.akamaized.net//images/wappen/head/398.png?lm=1439921237,26,"25,3",19,"165,55 mill. €"
47,2.0,Torino FC,//tmssl.akamaized.net//images/wappen/head/416.png?lm=1438548174,25,"27,0",14,"121,00 mill. €"
48,2.0,US Sassuolo,//tmssl.akamaized.net//images/wappen/head/6574.png?lm=1438548058,27,"27,3",4,"100,70 mill. €"
49,2.0,Atalanta Bergamo,//tmssl.akamaized.net//images/wappen/head/800.png?lm=1438547428,28,"26,1",13,"90,25 mill. €"
50,2.0,Genoa CFC,//tmssl.akamaized.net//images/wappen/head/252.png?lm=1438591281,28,"27,1",18,"85,98 mill. €"
51,2.0,Udinese Calcio,//tmssl.akamaized.net//images/wappen/head/410.png?lm=1437136398,29,"25,7",24,"83,85 mill. €"
52,2.0,UC Sampdoria,//tmssl.akamaized.net//images/wappen/head/1038.png?lm=1438547684,26,"26,2",18,"82,80 mill. €"
53,2.0,FC Bologna,//tmssl.akamaized.net//images/wappen/head/1025.png?lm=1438547366,26,"25,1",17,"65,73 mill. €"
54,2.0,Cagliari Calcio,//tmssl.akamaized.net//images/wappen/head/1390.png?lm=1438548383,25,"28,0",11,"54,35 mill. €"
55,2.0,FC Empoli,//tmssl.akamaized.net//images/wappen/head/749.png?lm=1437818422,26,"26,7",12,"39,83 mill. €"
56,2.0,Delfino Pescara 1936,//tmssl.akamaized.net//images/wappen/head/2921.png?lm=1437137700,30,"27,1",13,"37,58 mill. €"
57,2.0,Chievo Verona,//tmssl.akamaized.net//images/wappen/head/862.png?lm=1454498424,25,"31,0",12,"36,53 mill. €"
58,2.0,US Palermo,//tmssl.akamaized.net//images/wappen/head/458.png?lm=1438547997,28,"25,6",17,"31,75 mill. €"
59,2.0,FC Crotone,//tmssl.akamaized.net//images/wappen/head/4083.png?lm=1437137511,26,"24,9",10,"24,55 mill. €"
60,3.0,FC Bayern de Múnich,//tmssl.akamaized.net//images/wappen/head/27.png?lm=1403163891,23,"27,6",14,"556,15 mill. €"
61,3.0,Borussia Dortmund,//tmssl.akamaized.net//images/wappen/head/16.png?lm=1396275280,28,"25,1",14,"378,35 mill. €"
62,3.0,Bayer 04 Leverkusen,//tmssl.akamaized.net//images/wappen/head/15.png?lm=1403163785,27,"24,9",14,"272,45 mill. €"
63,3.0,FC Schalke 04,//tmssl.akamaized.net//images/wappen/head/33.png?lm=1433588238,31,"25,4",18,"210,13 mill. €"
64,3.0,Borussia Mönchengladbach,//tmssl.akamaized.net//images/wappen/head/18.png?lm=1483890536,30,"24,9",14,"161,55 mill. €"
65,3.0,VfL Wolfsburg,//tmssl.akamaized.net//images/wappen/head/82.png?lm=1442954683,32,"25,1",15,"158,00 mill. €"
66,3.0,RasenBallsport Leipzig,//tmssl.akamaized.net//images/wappen/head/23826.png?lm=1472421480,23,"24,1",10,"111,03 mill. €"
67,3.0,TSG 1899 Hoffenheim,//tmssl.akamaized.net//images/wappen/head/533.png?lm=1458907862,25,"25,5",10,"99,88 mill. €"
68,3.0,1.FC Köln,//tmssl.akamaized.net//images/wappen/head/3.png?lm=1396275280,24,"25,7",9,"93,80 mill. €"
69,3.0,Hertha Berlin,//tmssl.akamaized.net//images/wappen/head/44.png?lm=1481836362,26,"26,0",13,"84,55 mill. €"
70,3.0,1.FSV Mainz 05,//tmssl.akamaized.net//images/wappen/head/39.png?lm=1403085834,30,"24,5",17,"77,23 mill. €"
71,3.0,Hamburgo SV,//tmssl.akamaized.net//images/wappen/head/41.png?lm=1403162717,31,"24,5",14,"76,75 mill. €"
72,3.0,SV Werder Bremen,//tmssl.akamaized.net//images/wappen/head/86.png?lm=1403082298,32,"26,2",17,"68,80 mill. €"
73,3.0,Eintracht de Francfort,//tmssl.akamaized.net//images/wappen/head/24.png?lm=1403806187,31,"24,6",19,"67,75 mill. €"
74,3.0,FC Augsburg,//tmssl.akamaized.net//images/wappen/head/167.png?lm=1403085893,30,"27,1",17,"62,28 mill. €"
75,3.0,SC Freiburg,//tmssl.akamaized.net//images/wappen/head/60.png?lm=1423218077,27,"25,9",10,"52,28 mill. €"
76,3.0,FC Ingolstadt 04,//tmssl.akamaized.net//images/wappen/head/4795.png?lm=1482665720,26,"25,6",14,"35,30 mill. €"
77,3.0,SV Darmstadt 98,//tmssl.akamaized.net//images/wappen/head/105.png?lm=1486070332,31,"26,8",12,"22,25 mill. €"
