,Jugador,Temporada,Competicion,Club,Plantilla,Alineaciones,Puntos por partido,Goles,PasesGol,GolesPropiaMeta,CambiosFuera,CambiosDentro,Amarillas,DobleAmarillas,Rojas,PenaltisAnotados,MinutosPorGol,MinutosJugados,GolesEnContra,PartidoSinGolEnContra
25635,995.0,16/17,Serie A,Juventus de Turín,24,4,"3,00",-,-,-,1,-,-,-,-,-,-,314',1,3
25636,995.0,16/17,Copa Italia,Juventus de Turín,2,2,"3,00",-,-,-,-,-,-,-,-,-,-,180',3,-
25637,995.0,16/17,Supercopa de Italia,Juventus de Turín,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25638,995.0,16/17,Liga de Campeones de la UEFA,Juventus de Turín,6,1,"3,00",-,-,-,-,-,-,-,-,-,-,90',-,1
25639,995.0,15/16,Copa Italia,Juventus de Turín,5,5,"2,40",-,-,-,-,-,-,-,-,-,-,510',3,4
25640,995.0,15/16,Serie A,Juventus de Turín,34,3,"1,33",-,-,-,-,-,-,-,-,-,-,270',3,1
25641,995.0,15/16,Liga de Campeones de la UEFA,Juventus de Turín,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25642,995.0,15/16,Supercopa de Italia,Juventus de Turín,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25643,995.0,14/15,Serie A,ACF Fiorentina,31,29,"1,59",-,-,-,-,-,4,-,-,-,-,2.610',35,10
25644,995.0,14/15,Europa League,ACF Fiorentina,13,7,"1,57",-,-,-,-,-,1,-,-,-,-,630',7,3
25645,995.0,14/15,Copa Italia,ACF Fiorentina,3,2,"1,50",-,-,-,-,-,-,-,-,-,-,180',4,-
25646,995.0,13/14,Copa Italia,ACF Fiorentina,5,5,"1,80",-,-,-,-,-,-,-,-,-,-,450',6,2
25647,995.0,13/14,Serie A,ACF Fiorentina,35,35,"1,74",-,-,-,-,-,2,-,-,-,-,3.150',38,12
25648,995.0,13/14,Europa League,ACF Fiorentina,12,9,"2,11",-,-,-,-,-,3,-,-,-,-,810',7,2
25649,995.0,12/13,Serie A,ACF Fiorentina,38,6,"1,17",-,-,-,-,-,-,-,-,-,-,540',9,1
25650,995.0,12/13,Copa Italia,ACF Fiorentina,4,4,"2,25",-,-,-,-,-,1,-,-,-,-,390',1,3
25651,995.0,11/12,Serie A,ACF Fiorentina,37,2,"0,50",-,-,-,-,-,-,-,-,-,-,180',2,1
25652,995.0,11/12,Copa Italia,ACF Fiorentina,3,2,"1,50",-,-,-,-,-,-,-,-,-,-,180',4,-
25653,995.0,10/11,Serie A,ACF Fiorentina,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25654,995.0,2010,Campeonato Brasileiro Série A,Clube Atlético Paranaense,34,34,"1,62",-,-,-,-,-,1,-,1,-,-,3.040',39,11
25655,995.0,2009,Campeonato Brasileiro Série A,Clube Atlético Paranaense,24,2,"3,00",-,-,-,1,-,-,-,-,-,-,134',-,2
25656,995.0,2009,Copa Sudamericana,Clube Atlético Paranaense,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25657,996.0,16/17,Serie A,Juventus de Turín,22,21,"2,43",-,-,-,-,1,-,-,-,-,-,1.845',15,10
25658,996.0,16/17,Supercopa de Italia,Juventus de Turín,1,1,"0,00",-,-,-,-,-,-,-,-,-,-,120',1,-
25659,996.0,16/17,Liga de Campeones de la UEFA,Juventus de Turín,6,5,"2,20",-,-,-,-,-,-,-,-,-,-,450',2,3
25660,996.0,15/16,Copa Italia,Juventus de Turín,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25661,996.0,15/16,Serie A,Juventus de Turín,37,35,"2,49",-,-,-,-,-,1,-,-,-,-,3.150',17,21
25662,996.0,15/16,Liga de Campeones de la UEFA,Juventus de Turín,8,8,"1,50",-,-,-,-,-,-,-,-,-,-,750',9,3
25663,996.0,15/16,Supercopa de Italia,Juventus de Turín,1,1,"3,00",-,-,-,-,-,-,-,-,-,-,90',-,1
25664,996.0,14/15,Liga de Campeones de la UEFA,Juventus de Turín,13,13,"1,85",-,-,-,-,-,-,-,-,-,-,1.170',10,6
25665,996.0,14/15,Serie A,Juventus de Turín,34,33,"2,33",-,-,-,-,-,-,-,-,-,-,2.970',20,18
25666,996.0,14/15,Copa Italia,Juventus de Turín,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25667,996.0,14/15,Supercopa de Italia,Juventus de Turín,1,1,"0,00",-,-,-,-,-,-,-,-,-,-,120',2,-
25668,996.0,13/14,Serie A,Juventus de Turín,37,33,"2,64",-,-,-,-,1,-,-,1,-,-,2.867',20,20
25669,996.0,13/14,Europa League,Juventus de Turín,8,8,"2,13",-,-,-,-,-,-,-,-,-,-,720',4,5
25670,996.0,13/14,Copa Italia,Juventus de Turín,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25671,996.0,13/14,Liga de Campeones de la UEFA,Juventus de Turín,6,6,"1,00",-,-,-,-,-,-,-,-,-,-,540',9,-
25672,996.0,13/14,Supercopa de Italia,Juventus de Turín,1,1,"3,00",-,-,-,-,-,-,-,-,-,-,90',-,1
25673,996.0,12/13,Serie A,Juventus de Turín,35,32,"2,31",-,-,-,-,-,-,-,-,-,-,2.880',19,16
25674,996.0,12/13,Liga de Campeones de la UEFA,Juventus de Turín,10,10,"1,80",-,-,-,-,-,-,-,-,-,-,900',8,5
25675,996.0,12/13,Copa Italia,Juventus de Turín,4,1,"3,00",-,-,-,-,-,-,-,-,-,-,120',-,1
25676,996.0,12/13,Supercopa de Italia,Juventus de Turín,1,1,"3,00",-,-,-,-,-,-,-,-,-,-,120',2,-
25677,996.0,11/12,Serie A,Juventus de Turín,35,35,"2,20",-,-,-,-,-,-,-,-,-,-,3.150',16,21
25678,996.0,10/11,Serie A,Juventus de Turín,16,16,"1,31",-,-,-,-,-,1,-,1,-,-,1.362',17,5
25679,996.0,10/11,Copa Italia,Juventus de Turín,1,1,"3,00",-,-,-,-,-,-,-,-,-,-,90',-,1
25680,996.0,09/10,Serie A,Juventus de Turín,27,27,"1,63",-,-,-,-,1,-,-,1,-,-,2.378',33,7
25681,996.0,09/10,Europa League,Juventus de Turín,1,1,"3,00",-,-,-,-,-,-,-,-,-,-,90',1,-
25682,996.0,09/10,Copa Italia,Juventus de Turín,1,1,"0,00",-,-,-,-,-,-,-,-,-,-,90',2,-
25683,996.0,09/10,Liga de Campeones de la UEFA,Juventus de Turín,6,6,"1,33",-,-,-,-,-,-,-,-,-,-,540',7,3
25684,996.0,08/09,Serie A,Juventus de Turín,23,23,"1,78",-,-,-,-,1,-,-,-,-,-,2.025',26,8
25685,996.0,08/09,Copa Italia,Juventus de Turín,2,2,"1,50",-,-,-,-,-,-,-,-,-,-,180',2,1
25686,996.0,08/09,Liga de Campeones de la UEFA,Juventus de Turín,3,3,"1,33",-,-,-,-,-,-,-,-,-,-,270',3,1
25687,996.0,08/09,Liga de Campeones UEFA Clasificación,Juventus de Turín,2,2,"2,00",-,-,-,-,-,-,-,-,-,-,180',1,1
25688,996.0,07/08,Serie A,Juventus de Turín,34,34,"1,97",-,-,-,-,1,1,-,-,-,-,3.050',30,16
25689,996.0,07/08,Copa Italia,Juventus de Turín,2,1,"3,00",-,-,-,-,-,-,-,-,-,-,90',1,-
25690,996.0,06/07,Serie B,Juventus de Turín,37,37,"2,30",-,-,-,-,1,-,-,1,-,-,3.253',21,21
25691,996.0,06/07,Copa Italia,Juventus de Turín,3,3,"2,00",-,-,-,-,-,-,-,-,-,-,300',4,1
25692,996.0,05/06,Serie A,Juventus de Turín,22,18,"2,22",-,-,-,-,1,1,-,-,-,-,1.617',12,7
25693,996.0,05/06,Liga de Campeones de la UEFA,Juventus de Turín,4,4,"1,00",-,-,-,-,-,-,-,-,-,-,360',6,1
25694,996.0,05/06,Copa Italia,Juventus de Turín,4,2,"2,00",-,-,-,-,-,-,-,-,-,-,180',3,-
25695,996.0,04/05,Serie A,Juventus de Turín,37,37,"2,24",-,-,-,-,1,-,-,-,-,-,3.285',23,20
25696,996.0,04/05,Liga de Campeones de la UEFA,Juventus de Turín,9,9,"2,11",-,-,-,-,-,-,-,-,-,-,840',3,7
25697,996.0,04/05,Liga de Campeones UEFA Clasificación,Juventus de Turín,2,2,"2,00",-,-,-,-,-,-,-,-,-,-,180',3,-
25698,996.0,03/04,Serie A,Juventus de Turín,34,32,"1,97",-,-,-,-,-,1,-,-,-,-,2.880',41,11
25699,996.0,03/04,Copa Italia,Juventus de Turín,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25700,996.0,03/04,Liga de Campeones de la UEFA,Juventus de Turín,8,6,"1,67",-,-,-,-,-,-,-,-,-,-,540',6,1
25701,996.0,03/04,Supercopa de Italia,Juventus de Turín,1,1,"3,00",-,-,-,-,-,-,-,-,-,-,120',1,-
25702,996.0,02/03,Liga de Campeones de la UEFA,Juventus de Turín,15,15,"1,60",-,-,-,-,-,1,-,-,-,-,1.410',16,5
25703,996.0,02/03,Serie A,Juventus de Turín,32,32,"2,06",-,-,-,-,2,1,-,-,-,-,2.827',23,15
25704,996.0,02/03,Supercopa de Italia,Juventus de Turín,1,1,"3,00",-,-,-,-,-,-,-,-,-,-,90',1,-
25705,996.0,01/02,Copa Italia,Juventus de Turín,3,1,"3,00",-,-,-,-,-,-,-,-,-,-,90',1,-
25706,996.0,01/02,Serie A,Juventus de Turín,34,34,"2,09",-,-,-,-,-,-,-,-,-,-,3.060',23,18
25707,996.0,01/02,Liga de Campeones de la UEFA,Juventus de Turín,10,10,"1,50",-,-,-,-,-,1,-,-,-,-,900',12,4
25708,996.0,00/01,Serie A,AC Parma,34,34,"1,65",-,-,-,-,-,1,-,-,-,-,3.060',31,16
25709,996.0,00/01,Copa de la UEFA,AC Parma,7,7,"1,86",-,-,-,-,-,-,-,-,-,-,630',7,3
25710,996.0,00/01,Copa Italia,AC Parma,2,2,"2,00",-,-,-,-,-,-,-,-,-,-,180',2,-
25711,996.0,99/00,Play-Out Serie A,AC Parma,1,1,"0,00",-,-,-,-,-,-,-,-,-,-,90',3,-
25712,996.0,99/00,Serie A,AC Parma,32,32,"1,63",-,-,-,-,-,-,-,-,-,-,2.880',36,12
25713,996.0,99/00,Copa de la UEFA,AC Parma,7,7,"2,57",-,-,-,-,-,-,-,-,-,-,630',7,3
25714,996.0,99/00,Supercopa de Italia,AC Parma,1,1,"3,00",-,-,-,-,-,-,-,-,-,-,90',1,-
25715,996.0,98/99,Serie A,AC Parma,34,34,"1,62",-,-,-,-,-,3,-,-,-,-,3.060',36,11
25716,996.0,98/99,Copa de la UEFA,AC Parma,9,9,"2,22",-,-,-,-,-,1,-,-,-,-,810',8,2
25717,996.0,98/99,Copa Italia,AC Parma,5,5,"2,20",-,-,-,-,-,-,-,-,-,-,450',4,2
25718,996.0,97/98,Serie A,AC Parma,32,32,"1,75",-,-,-,-,1,-,-,-,-,-,2.838',33,10
