,Jugador,Temporada,Dato,Ultimo_club,Nuevo_club,Valor,Coste
6429,995.0,15/16,03/07/2015,Fiorentina,Juventus,"9,00 mill. €",Libre
6430,995.0,10/11,01/01/2011,Atlético-PR,Fiorentina,"1,80 mill. €","3,50 mill. €"
6431,995.0,08/09,01/04/2009,Paranaense,Atlético-PR,-,-
6432,996.0,01/02,03/07/2001,AC Parma,Juventus,-,"52,88 mill. €"
6433,996.0,94/95,01/07/1994,Parma U19,AC Parma,-,-
6434,997.0,15/16,01/07/2015,Juventus U19,Juventus,175 miles €,-
6435,997.0,13/14,01/07/2013,Juventus U17,Juventus U19,-,-
6436,997.0,12/13,01/07/2012,Juventus Cadete,Juventus U17,-,-
6437,997.0,08/09,01/07/2008,Desconocido,Juventus Cadete,-,?
6438,998.0,10/11,01/07/2010,Bari,Juventus,"8,00 mill. €","15,50 mill. €"
6439,998.0,09/10,01/08/2009,Genoa CFC,Bari,400 miles €,"10,50 mill. €"
6440,998.0,09/10,01/07/2009,Inter,Genoa CFC,400 miles €,"4,00 mill. €"
6441,998.0,08/09,30/06/2009,AC Pisa,Inter,400 miles €,Fin de préstamo
6442,998.0,08/09,01/01/2009,Inter,AC Pisa,300 miles €,Préstamo
6443,998.0,08/09,01/12/2008,Treviso,Inter,300 miles €,Fin de préstamo
6444,998.0,07/08,01/07/2007,Inter,Treviso,50 miles €,Préstamo
6445,998.0,06/07,01/07/2006,Inter U19,Inter,50 miles €,-
6446,998.0,05/06,01/07/2005,Viterbese Gio.,Inter U19,-,40 miles €
6447,999.0,14/15,30/06/2015,FC Empoli,Juventus,"7,50 mill. €",Fin de préstamo
6448,999.0,14/15,02/02/2015,Juventus,FC Empoli,"7,50 mill. €",Préstamo
6449,999.0,14/15,01/02/2015,FC Empoli,Juventus,"7,50 mill. €","5,00 mill. €"
6450,999.0,13/14,01/07/2013,Empoli U19,FC Empoli,200 miles €,-
6451,999.0,12/13,30/06/2013,Juventus U19,Empoli U19,200 miles €,Fin de préstamo
