,Avatar,Nombre,Nombre_Completo,Dorsal,Nacionalidad,bandera_pais,valor,Equipo,Altura,Pie,Edad,Fecha_nacimiento,Contrato_hasta,Posicion,Fichado,Agente,Lugar_nacimiento,Proveedror
995,tmssl.akamaized.net//images/portrait/header/111819-1448463847.jpg?lm=1448463862,Neto,-,25,Brasil,//tmssl.akamaized.net//images/flagge/verysmall/26.png?lm=1396275477,"6,00 mill. € ",40.0,"1,91m",derecho,27,19/07/1989,30.06.2019,Portero,03/07/2015,Football Capital,Araxá  ,adidas
996,tmssl.akamaized.net//images/portrait/header/5023-1448530267.jpg?lm=1448530280,Gianluigi Buffon,-,1,Italia,//tmssl.akamaized.net//images/flagge/verysmall/75.png?lm=1396275478,"2,00 mill. € ",40.0,"1,92m",derecho,39,28/01/1978,30.06.2018,Portero,03/07/2001,Assist,Carrara  ,Puma
997,tmssl.akamaized.net//images/portrait/header/256339-1474296886.jpg?lm=1474296899,Emil Audero,Emil Audero Mulyadi,32,Italia,//tmssl.akamaized.net//images/flagge/verysmall/75.png?lm=1396275478,300 miles € ,40.0,"1,90m",derecho,20,18/01/1997,30.06.2019,Portero,01/07/2015,TMP SOCCER srl,Mataram  ,Nike
998,tmssl.akamaized.net//images/portrait/header/39983-1448464012.jpg?lm=1448464025,Leonardo Bonucci,-,19,Italia,//tmssl.akamaized.net//images/flagge/verysmall/75.png?lm=1396275478,"40,00 mill. € ",40.0,"1,90m",derecho,29,01/05/1987,30.06.2021,Defensa - Defensa central,01/07/2010,Alessandro Lucci - WSA,Viterbo  ,Nike
999,tmssl.akamaized.net//images/portrait/header/162959-1418136957.jpg?lm=1433143751,Daniele Rugani,-,24,Italia,//tmssl.akamaized.net//images/flagge/verysmall/75.png?lm=1396275478,"17,00 mill. € ",40.0,"1,90m",derecho,22,29/07/1994,30.06.2021,Defensa - Defensa central,01/02/2015,Davide Torchia,Sesto di Moriano  ,Nike
1000,tmssl.akamaized.net//images/portrait/header/45124-1437471177.jpg?lm=1437471528,Medhi Benatia,Medhi Amine El Mouttaqi Benatia,4,Marruecos,//tmssl.akamaized.net//images/flagge/verysmall/107.png?lm=1396275477,"15,00 mill. € ",40.0,"1,90m",derecho,29,17/04/1987,30.06.2017,Defensa - Defensa central,15/07/2016,GM FOOT,Courcouronnes  ,-
1001,tmssl.akamaized.net//images/portrait/header/29260-1448464153.jpg?lm=1448464171,Giorgio Chiellini,-,3,Italia,//tmssl.akamaized.net//images/flagge/verysmall/75.png?lm=1396275478,"12,00 mill. € ",40.0,"1,87m",izquierdo,32,14/08/1984,30.06.2018,Defensa - Defensa central,01/07/2005,Reset Group Srl,Pisa  ,Puma
1002,tmssl.akamaized.net//images/portrait/header/7109-1416219029.jpg?lm=1433144900,Andrea Barzagli,-,15,Italia,//tmssl.akamaized.net//images/flagge/verysmall/75.png?lm=1396275478,"2,00 mill. € ",40.0,"1,87m",derecho,35,08/05/1981,30.06.2018,Defensa - Defensa central,01/01/2011,Claudio Orlandini,Fiesole  ,Nike
1003,tmssl.akamaized.net//images/portrait/header/79960-1474296962.jpg?lm=1474296972,Alex Sandro,-,12,Brasil,//tmssl.akamaized.net//images/flagge/verysmall/26.png?lm=1396275477,"30,00 mill. € ",40.0,"1,81m",izquierdo,26,26/01/1991,30.06.2020,Defensa - Lateral izquierdo,20/08/2015,GT Talents World,Catanduva  ,Nike
1004,tmssl.akamaized.net//images/portrait/header/44709-1418827584.jpg?lm=1433144596,Paolo De Ceglie,-,29,Italia,//tmssl.akamaized.net//images/flagge/verysmall/75.png?lm=1396275478,600 miles € ,40.0,"1,84m",izquierdo,30,17/09/1986,30.06.2017,Defensa - Lateral izquierdo,01/07/2008,Carlo Pallavicino,Aosta  ,Asics
1005,tmssl.akamaized.net//images/portrait/header/15951-1464251996.jpg?lm=1464252013,Dani Alves,Daniel Alves da Silva,23,Brasil,//tmssl.akamaized.net//images/flagge/verysmall/26.png?lm=1396275477,"6,00 mill. € ",40.0,"1,72m",derecho,33,06/05/1983,30.06.2018,Defensa - Lateral derecho,01/07/2016,"Flashforward, S.L.",Juazeiro  ,-
1006,tmssl.akamaized.net//images/portrait/header/2865-1410245791.jpg?lm=1433144211,Stephan Lichtsteiner,-,26,Suiza,//tmssl.akamaized.net//images/flagge/verysmall/148.png?lm=1396275450,"4,00 mill. € ",40.0,"1,82m",derecho,33,16/01/1984,30.06.2018,Defensa - Lateral derecho,01/07/2011,Miembro de su familia,Adligenswil  ,Puma
1007,tmssl.akamaized.net//images/portrait/header/75942-1448531462.jpg?lm=1448531478,Tomás Rincón,Tomás Eduardo Rincón Hernández,28,Venezuela,//tmssl.akamaized.net//images/flagge/verysmall/182.png?lm=1396275478,"9,00 mill. € ",40.0,"1,77m",derecho,29,13/01/1988,30.06.2020,Medio campo - Pivote,03/01/2017,Go Pro Sport Management,San Cristóbal  ,-
1008,tmssl.akamaized.net//images/portrait/header/308279-1474297023.jpg?lm=1474297031,Rolando Mandragora,-,38,Italia,//tmssl.akamaized.net//images/flagge/verysmall/75.png?lm=1396275478,"3,00 mill. € ",40.0,"1,83m",izquierdo,19,29/06/1997,30.06.2020,Medio campo - Pivote,19/01/2016,G.E.V. Sport&amp;management; srl,Napoli  ,Nike
1009,tmssl.akamaized.net//images/portrait/header/44162-1448466304.jpg?lm=1448466314,Miralem Pjanic,Miralem Pjanić,5,Bosnia y Herzegovina,//tmssl.akamaized.net//images/flagge/verysmall/24.png?lm=1396275450,"38,00 mill. € ",40.0,"1,80m",derecho,26,02/04/1990,30.06.2021,Medio campo - Medio centro,01/07/2016,Dr. Michael Becker,Tuzla  ,adidas
1010,tmssl.akamaized.net//images/portrait/header/44716-1416219760.jpg?lm=1433144598,Claudio Marchisio,-,8,Italia,//tmssl.akamaized.net//images/flagge/verysmall/75.png?lm=1396275478,"28,00 mill. € ",40.0,"1,80m",derecho,31,19/01/1986,30.06.2020,Medio campo - Medio centro,01/07/2005,Miembro de su familia,Torino  ,Nike
1011,tmssl.akamaized.net//images/portrait/header/29401-1448464789.jpg?lm=1448464805,Sami Khedira,-,6,Alemania,//tmssl.akamaized.net//images/flagge/verysmall/40.png?lm=1396275477,"23,00 mill. € ",40.0,"1,89m",derecho,29,04/04/1987,30.06.2019,Medio campo - Medio centro,01/07/2015,Jörg Neubauer,Stuttgart  ,Nike
