,Jugador,Temporada,Competicion,Club,Plantilla,Alineaciones,Puntos por partido,Goles,PasesGol,GolesPropiaMeta,CambiosFuera,CambiosDentro,Amarillas,DobleAmarillas,Rojas,PenaltisAnotados,MinutosPorGol,MinutosJugados,GolesEnContra,PartidoSinGolEnContra
111621,5230.0,16/17,Serie B,Hellas Verona,25,25,"1,80",-,-,1,-,-,2,-,-,-,-,2.250',29,9
111622,5230.0,16/17,Copa Italia,Hellas Verona,3,2,"3,00",-,-,-,-,-,-,-,-,-,-,180',2,-
111623,5230.0,15/16,Serie B Play-off,Trapani Calcio,4,4,"1,75",-,-,-,-,-,1,-,-,-,-,360',3,2
111624,5230.0,15/16,Serie B,Trapani Calcio,42,40,"1,73",-,-,-,1,-,-,-,-,-,-,3.585',47,13
111625,5230.0,15/16,Copa Italia,Trapani Calcio,2,2,"1,50",-,-,-,-,-,-,-,-,-,-,210',1,1
111626,5230.0,14/15,Serie B,SS Virtus Lanciano,35,35,"1,17",-,-,-,-,1,-,-,-,-,-,3.139',40,9
111627,5230.0,14/15,Copa Italia,SS Virtus Lanciano,2,2,"1,50",-,-,-,-,-,1,-,-,-,-,180',1,1
111628,5230.0,13/14,Serie A,Hellas Verona,29,1,"0,00",-,-,-,-,-,-,-,-,-,-,90',5,-
111629,5230.0,13/14,Copa Italia,Hellas Verona,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
111630,5230.0,12/13,Copa Italia,Hellas Verona,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
111631,5230.0,12/13,Serie B,Hellas Verona,5,2,"2,00",-,-,-,-,-,-,-,-,-,-,180',3,1
111632,5230.0,11/12,Serie B,Hellas Verona,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
111633,5230.0,11/12,Copa Italia,Hellas Verona,2,1,"3,00",-,-,-,-,-,-,-,-,-,-,120',-,1
111634,5231.0,16/17,Serie B,Hellas Verona,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
111635,5231.0,16/17,Copa Italia,Hellas Verona,3,1,"0,00",-,-,-,-,-,-,-,-,-,-,90',4,-
111636,5231.0,15/16,Serie A,Hellas Verona,36,1,"1,00",-,-,1,-,-,-,-,-,-,-,90',1,-
111637,5231.0,15/16,Copa Italia,Hellas Verona,2,1,"0,00",-,-,-,-,-,1,-,-,-,-,90',3,-
111638,5231.0,14/15,Serie B Play-off,FC Bologna,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
111639,5231.0,14/15,Serie B,FC Bologna,38,30,"1,77",-,-,-,-,1,1,-,1,-,-,2.611',22,14
111640,5231.0,14/15,Copa Italia,FC Bologna,1,1,"0,00",-,-,-,-,-,-,-,-,-,-,120',2,-
111641,5231.0,13/14,Serie A,AC Milan,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
111642,5231.0,13/14,Copa Italia,AC Milan,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
