,Jugador,Temporada,Dato,Ultimo_club,Nuevo_club,Valor,Coste
34717,5230.0,15/16,30/06/2016,Trapani,Hellas Verona,400 miles €,Fin de préstamo
34718,5230.0,15/16,15/07/2015,Hellas Verona,Trapani,300 miles €,Préstamo
34719,5230.0,14/15,30/06/2015,Virtus Lanciano,Hellas Verona,300 miles €,Fin de préstamo
34720,5230.0,14/15,14/08/2014,Hellas Verona,Virtus Lanciano,100 miles €,Préstamo
34721,5230.0,10/11,01/07/2010,AA Anapolina,Hellas Verona,50 miles €,gratuito
34722,5230.0,09/10,01/01/2010,Atlético-MG,AA Anapolina,50 miles €,?
34723,5230.0,09/10,01/12/2009,Tombense,Atlético-MG,50 miles €,Fin de préstamo
34724,5230.0,09/10,01/08/2009,Atlético-MG,Tombense,50 miles €,Préstamo
34725,5230.0,08/09,01/05/2009,Villa Nova AC,Atlético-MG,50 miles €,Fin de préstamo
34726,5230.0,08/09,01/02/2009,Atlético-MG,Villa Nova AC,50 miles €,Préstamo
34727,5230.0,08/09,01/09/2008,CRB,Atlético-MG,-,Fin de préstamo
34728,5230.0,07/08,01/01/2008,Atlético-MG,CRB,-,Préstamo
34729,5230.0,06/07,01/11/2006,Mineiro B,Atlético-MG,-,-
34730,5231.0,15/16,17/07/2015,FC Bologna,Hellas Verona,100 miles €,Libre
34731,5231.0,14/15,08/07/2014,AC Milan,FC Bologna,100 miles €,Libre
34732,5231.0,13/14,17/08/2013,Torino,AC Milan,100 miles €,Libre
34733,5231.0,12/13,31/01/2013,AC Milan,Torino,50 miles €,Libre
34734,5231.0,11/12,30/06/2012,Torino,AC Milan,200 miles €,Fin de préstamo
34735,5231.0,11/12,01/07/2011,AC Milan,Torino,450 miles €,Préstamo
34736,5231.0,10/11,30/06/2011,AC Siena,AC Milan,450 miles €,Fin de préstamo
34737,5231.0,10/11,01/07/2010,AC Milan,AC Siena,"1,00 mill. €",Préstamo
34738,5231.0,09/10,01/06/2010,Atalanta,AC Milan,"2,00 mill. €",?
34739,5231.0,08/09,01/07/2008,AC Milan,Atalanta,"4,00 mill. €",900 miles €
34740,5231.0,07/08,30/06/2008,Atalanta,AC Milan,"4,00 mill. €",Fin de préstamo
34741,5231.0,07/08,01/07/2007,AC Milan,Atalanta,"1,50 mill. €",Préstamo
34742,5231.0,06/07,30/06/2007,Piacenza FC,AC Milan,"1,50 mill. €",Fin de préstamo
34743,5231.0,06/07,22/08/2006,AC Milan,Piacenza FC,"1,50 mill. €",Préstamo
34744,5231.0,06/07,01/07/2006,Ascoli,AC Milan,"1,50 mill. €",Libre
34745,5231.0,03/04,30/06/2004,Reggina,Ascoli,-,Fin de préstamo
34746,5231.0,03/04,01/01/2004,Ascoli,Reggina,-,Préstamo
34747,5231.0,03/04,01/07/2003,FC Bologna,Ascoli,-,?
34748,5231.0,00/01,01/07/2000,SSC Napoli,FC Bologna,-,?
34749,5231.0,96/97,01/07/1996,Napoli U19,SSC Napoli,-,-
34750,5232.0,14/15,30/06/2015,Spezia Calcio,Hellas Verona,"1,40 mill. €",Fin de préstamo
34751,5232.0,14/15,29/01/2015,Hellas Verona,Spezia Calcio,"1,20 mill. €",Préstamo
34752,5232.0,14/15,28/01/2015,FC Empoli,Hellas Verona,"1,20 mill. €",Fin de préstamo
34753,5232.0,14/15,08/08/2014,Hellas Verona,FC Empoli,"1,40 mill. €",Préstamo
34754,5232.0,13/14,30/06/2014,Spezia Calcio,Hellas Verona,"1,00 mill. €",Fin de préstamo
34755,5232.0,13/14,07/01/2014,Hellas Verona,Spezia Calcio,"1,00 mill. €",Préstamo
34756,5232.0,13/14,01/07/2013,Inter,Hellas Verona,"1,00 mill. €","1,60 mill. €"
34757,5232.0,12/13,30/06/2013,Hellas Verona,Inter,"1,00 mill. €",Fin de préstamo
34758,5232.0,12/13,23/01/2013,Inter,Hellas Verona,400 miles €,Préstamo
34759,5232.0,12/13,01/07/2012,Inter U19,Inter,250 miles €,-
34760,5232.0,10/11,30/06/2011,Varese U19,Inter U19,300 miles €,Fin de préstamo
34761,5232.0,10/11,01/08/2010,Inter U19,Varese U19,-,Préstamo
34762,5232.0,07/08,01/07/2007,Corsico,Inter U19,-,?
34763,5233.0,16/17,27/01/2017,FC Bologna,Hellas Verona,900 miles €,Préstamo
34764,5233.0,13/14,30/06/2014,Crotone,FC Bologna,100 miles €,Fin de préstamo
34765,5233.0,13/14,14/01/2014,FC Bologna,Crotone,100 miles €,Préstamo
34766,5233.0,13/14,01/07/2013,Bologna U19,FC Bologna,75 miles €,-
34767,5233.0,11/12,01/07/2011,FC Bologna Jugend,Bologna U19,-,-
34768,5234.0,16/17,11/08/2016,Brescia,Hellas Verona,500 miles €,500 miles €
34769,5234.0,13/14,30/06/2014,Cremonese,Brescia,300 miles €,Fin de préstamo
34770,5234.0,13/14,19/07/2013,Brescia,Cremonese,300 miles €,Préstamo
