,competicion,nombre_Equipo,escudo,plantilla,edad_media,extranjeros,valor
116,6.0,SL Benfica,//tmssl.akamaized.net//images/wappen/head/294.png?lm=1460151603,27,"27,0",18,"183,40 mill. €"
117,6.0,FC Porto,//tmssl.akamaized.net//images/wappen/head/720.png?lm=1486310161,22,"25,7",14,"168,35 mill. €"
118,6.0,Sporting CP,//tmssl.akamaized.net//images/wappen/head/336.png?lm=1432893714,27,"25,5",15,"167,45 mill. €"
119,6.0,SC Braga,//tmssl.akamaized.net//images/wappen/head/1075.png?lm=1432893871,27,"25,8",18,"44,60 mill. €"
120,6.0,Vitória Guimarães SC,//tmssl.akamaized.net//images/wappen/head/2420.png?lm=1432894021,24,"25,2",14,"33,15 mill. €"
121,6.0,Rio Ave FC,//tmssl.akamaized.net//images/wappen/head/2425.png?lm=1406273189,31,"25,6",13,"28,08 mill. €"
122,6.0,CD Nacional,//tmssl.akamaized.net//images/wappen/head/982.png?lm=1460151219,27,"25,0",14,"20,50 mill. €"
123,6.0,FC Paços de Ferreira,//tmssl.akamaized.net//images/wappen/head/2995.png?lm=1480959173,32,"26,1",13,"20,38 mill. €"
124,6.0,FC Arouca,//tmssl.akamaized.net//images/wappen/head/8024.png?lm=1401605339,27,"26,6",17,"19,58 mill. €"
125,6.0,CF Os Belenenses ,//tmssl.akamaized.net//images/wappen/head/2457.png?lm=1426600209,25,"26,6",8,"18,20 mill. €"
126,6.0,GD Estoril Praia,//tmssl.akamaized.net//images/wappen/head/1465.png?lm=1476004711,29,"24,6",18,"17,53 mill. €"
127,6.0,CS Marítimo,//tmssl.akamaized.net//images/wappen/head/1301.png?lm=1432894070,30,"26,2",24,"17,15 mill. €"
128,6.0,Boavista Porto FC,//tmssl.akamaized.net//images/wappen/head/2503.png?lm=1480959207,29,"26,0",15,"16,83 mill. €"
129,6.0,Vitória Setúbal FC,//tmssl.akamaized.net//images/wappen/head/1085.png?lm=1405231963,26,"25,9",10,"16,63 mill. €"
130,6.0,CD Feirense,//tmssl.akamaized.net//images/wappen/head/3349.png?lm=1469968627,27,"26,9",15,"14,08 mill. €"
131,6.0,GD Chaves,//tmssl.akamaized.net//images/wappen/head/3325.png?lm=1416392512,27,"27,2",15,"13,68 mill. €"
132,6.0,Moreirense FC,//tmssl.akamaized.net//images/wappen/head/979.png?lm=1460151264,27,"27,3",19,"12,83 mill. €"
133,6.0,CD Tondela,//tmssl.akamaized.net//images/wappen/head/7179.png?lm=1464262215,26,"25,6",14,"9,98 mill. €"
