,Jugador,Temporada,Competicion,Club,Plantilla,Alineaciones,Puntos por partido,Goles,PasesGol,GolesPropiaMeta,CambiosFuera,CambiosDentro,Amarillas,DobleAmarillas,Rojas,PenaltisAnotados,MinutosPorGol,MinutosJugados,GolesEnContra,PartidoSinGolEnContra
70035,3066.0,16/17,Liga de Campeones de la UEFA,SL Benfica,7,6,"1,83",-,-,-,-,-,-,-,-,-,-,540',6,3
70036,3066.0,16/17,Liga NOS,SL Benfica,20,16,"2,38",-,-,-,-,-,3,-,1,-,-,1.392',8,11
70037,3066.0,16/17,Taça CTT,SL Benfica,4,3,"2,00",-,-,-,-,-,-,-,-,-,-,270',3,2
70038,3066.0,16/17,Taça de Portugal Placard,SL Benfica,4,2,"3,00",-,-,-,-,-,1,-,-,-,-,180',1,1
70039,3066.0,15/16,Taça CTT,SL Benfica,5,5,"3,00",-,-,-,-,-,-,-,-,-,-,450',4,2
70040,3066.0,15/16,Liga NOS,SL Benfica,33,10,"3,00",-,-,-,-,1,2,-,-,-,-,891',4,6
70041,3066.0,15/16,Liga de Campeones de la UEFA,SL Benfica,10,3,"1,33",-,-,-,-,-,-,-,-,-,-,270',4,-
70042,3066.0,15/16,Ledman Liga Pro,SL Benfica B,4,4,"1,50",-,-,-,-,-,1,-,-,-,-,360',6,1
70043,3066.0,15/16,Taça de Portugal Placard,SL Benfica,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
70044,3066.0,15/16,Supertaça Cândido de Oliveira,SL Benfica,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
70045,3066.0,14/15,Liga NOS,Rio Ave FC,33,17,"1,18",-,-,-,-,-,3,-,-,-,-,1.530',18,5
70046,3066.0,14/15,Taça de Portugal Placard,Rio Ave FC,6,5,"2,00",-,-,-,-,-,1,-,-,-,-,450',6,2
70047,3066.0,14/15,Taça CTT,Rio Ave FC,5,4,"0,25",-,-,-,-,-,-,-,-,-,-,360',5,-
70048,3066.0,14/15,Europa League,Rio Ave FC,8,2,"0,50",-,-,-,-,-,-,-,-,-,-,180',4,-
70049,3066.0,14/15,Supertaça Cândido de Oliveira,Rio Ave FC,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
70050,3066.0,14/15,Europa League Qualifikation,Rio Ave FC,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
70051,3066.0,13/14,Taça de Portugal Placard,Rio Ave FC,7,7,"2,29",-,-,-,-,-,-,-,-,-,-,630',3,5
70052,3066.0,13/14,Liga NOS,Rio Ave FC,29,18,"1,06",-,-,-,1,-,5,-,-,-,-,1.595',23,6
70053,3066.0,13/14,Taça CTT,Rio Ave FC,5,3,"3,00",-,-,-,1,-,-,-,-,-,-,202',1,2
70054,3066.0,12/13,Liga NOS,Rio Ave FC,22,2,"1,50",-,-,-,-,-,-,-,-,-,-,180',2,-
70055,3066.0,12/13,Taça CTT,Rio Ave FC,4,3,"1,33",-,-,-,-,-,1,-,-,-,-,270',5,1
70056,3066.0,12/13,Taça de Portugal Placard,Rio Ave FC,2,2,"1,50",-,-,-,-,-,-,-,-,-,-,210',3,-
