,Jugador,Temporada,Dato,Ultimo_club,Nuevo_club,Valor,Coste
19613,3066.0,15/16,01/07/2015,Rio Ave FC,Benfica,"1,20 mill. €",500 miles €
19614,3066.0,12/13,01/07/2012,GD Ribeirão,Rio Ave FC,-,Libre
19615,3066.0,11/12,01/07/2011,Benfica U19,GD Ribeirão,-,Libre
19616,3066.0,10/11,01/07/2010,Benfica U17,Benfica U19,-,-
19617,3066.0,09/10,01/01/2010,São Paulo U17,Benfica U17,-,?
19618,3067.0,14/15,19/08/2014,QPR,Benfica,"1,50 mill. €",Libre
19619,3067.0,14/15,26/07/2014,Toronto FC,QPR,"2,50 mill. €",Fin de préstamo
19620,3067.0,13/14,14/02/2014,QPR,Toronto FC,"2,50 mill. €",Préstamo
19621,3067.0,12/13,29/08/2012,Inter,QPR,"15,00 mill. €",Libre
19622,3067.0,05/06,01/07/2005,Chievo Verona,Inter,"2,00 mill. €",Libre
19623,3067.0,04/05,01/01/2005,Flamengo,Chievo Verona,"2,00 mill. €",Libre
19624,3067.0,99/00,01/01/2000,Flamengo B,Flamengo,-,-
19625,3067.0,97/98,01/01/1998,Flamengo U19,Flamengo B,-,-
19626,3068.0,12/13,01/07/2012,Feirense,Benfica,900 miles €,Libre
19627,3068.0,09/10,01/07/2009,Trofense,Feirense,"1,00 mill. €",?
19628,3068.0,07/08,01/07/2007,Estrela Amadora,Trofense,300 miles €,?
19629,3068.0,04/05,01/07/2004,Salgueiros,Estrela Amadora,-,?
19630,3068.0,02/03,01/07/2002,Benfica,Salgueiros,-,?
19631,3068.0,01/02,01/07/2001,Barreirense,Benfica,-,?
19632,3068.0,00/01,01/07/2000,Gil Vicente,Barreirense,-,?
19633,3068.0,99/00,01/07/1999,Benfica,Gil Vicente,-,?
19634,3068.0,97/98,01/07/1997,Benfica U19,Benfica,-,-
19635,3069.0,15/16,01/07/2015,Benfica B,Benfica,"1,50 mill. €",-
19636,3069.0,12/13,01/07/2012,Västerås SK,Benfica B,-,"3,06 mill. €"
19637,3069.0,10/11,01/01/2011,Västerås U19,Västerås SK,-,-
19638,3069.0,09/10,01/01/2010,Västerås IK,Västerås U19,-,Libre
19639,3070.0,10/11,01/01/2011,Desp. Brasil,Benfica,200 miles €,"4,48 mill. €"
19640,3070.0,10/11,01/12/2010,Olhanense,Desp. Brasil,200 miles €,Fin de préstamo
19641,3070.0,10/11,01/07/2010,Desp. Brasil,Olhanense,50 miles €,Préstamo
19642,3070.0,09/10,01/05/2010,Estoril,Desp. Brasil,50 miles €,Fin de préstamo
19643,3070.0,09/10,01/07/2009,Desp. Brasil,Estoril,-,Préstamo
19644,3070.0,08/09,01/04/2009,Ituano,Desp. Brasil,-,Fin de préstamo
19645,3070.0,08/09,01/01/2009,Desp. Brasil,Ituano,-,Préstamo
19646,3070.0,08/09,01/10/2008,Iraty SC,Desp. Brasil,-,?
19647,3070.0,07/08,01/05/2008,Joinville,Iraty SC,-,Fin de préstamo
19648,3070.0,07/08,01/01/2008,Iraty SC,Joinville,-,Préstamo
19649,3070.0,07/08,01/12/2007,Avaí FC,Iraty SC,-,Fin de préstamo
19650,3070.0,06/07,01/06/2007,Iraty SC,Avaí FC,-,Préstamo
19651,3070.0,06/07,01/07/2006,Santos FC,Iraty SC,-,?
19652,3070.0,05/06,01/01/2006,EC Vitória,Santos FC,-,?
19653,3070.0,04/05,01/01/2005,Avaí FC,EC Vitória,-,?
19654,3071.0,13/14,30/06/2014,Getafe CF,Benfica,"6,00 mill. €",Fin de préstamo
19655,3071.0,13/14,01/09/2013,Benfica,Getafe CF,"7,00 mill. €",Préstamo
19656,3071.0,13/14,10/07/2013,Ars. de Sarandí,Benfica,"7,00 mill. €","4,00 mill. €"
19657,3071.0,10/11,01/07/2010,Chacarita Jrs,Ars. de Sarandí,400 miles €,Libre
19658,3071.0,08/09,01/01/2009,CACJ U20,Chacarita Jrs,-,-
19659,3072.0,03/04,01/08/2003,Cruzeiro,Benfica,-,"1,00 mill. €"
19660,3072.0,99/00,01/04/2000,CA Juventus,Cruzeiro,-,?
19661,3073.0,15/16,01/01/2016,FC Barcelona B,Benfica,"2,00 mill. €","2,10 mill. €"
19662,3073.0,12/13,01/07/2012,Barça Juvenil A,FC Barcelona B,100 miles €,-
19663,3073.0,11/12,01/07/2011,Barcelona Cad.,Barça Juvenil A,-,-
19664,3073.0,08/09,01/07/2008,Valencia Jugend,Barcelona Cad.,-,?
19665,3074.0,11/12,31/12/2011,Leiria,Benfica,500 miles €,Fin de préstamo
19666,3074.0,11/12,04/07/2011,Benfica,Leiria,500 miles €,Préstamo
19667,3074.0,11/12,01/07/2011,Belenenses,Benfica,500 miles €,Libre
19668,3074.0,08/09,01/07/2008,Belenenses U19,Belenenses,-,-
19669,3074.0,07/08,01/07/2007,Alverca U19,Belenenses U19,-,Libre
19670,3075.0,14/15,24/07/2014,Málaga CF,Benfica,"2,00 mill. €","1,20 mill. €"
19671,3075.0,10/11,01/07/2010,Lazio,Málaga CF,"4,00 mill. €","2,00 mill. €"
19672,3075.0,09/10,30/06/2010,Real Zaragoza,Lazio,"4,00 mill. €",Fin de préstamo
19673,3075.0,09/10,01/01/2010,Lazio,Real Zaragoza,"5,50 mill. €",Tarifa de préstamo:400 miles €
19674,3075.0,09/10,01/07/2009,Málaga CF,Lazio,"5,00 mill. €",900 miles €
19675,3075.0,07/08,01/07/2007,Belenenses,Málaga CF,200 miles €,Libre para traspaso
19676,3075.0,05/06,30/06/2006,Varzim,Belenenses,200 miles €,Fin de préstamo
19677,3075.0,05/06,01/07/2005,Belenenses,Varzim,200 miles €,Préstamo
19678,3075.0,02/03,01/07/2002,Belenenses U19,Belenenses,-,-
19679,3076.0,16/17,04/01/2017,Grêmio,Benfica,500 miles €,Libre
19680,3076.0,14/15,01/01/2015,Grêmio U19,Grêmio,-,-
19681,3077.0,15/16,01/07/2015,Benfica B,Benfica,600 miles €,-
19682,3077.0,12/13,30/06/2013,Fátima,Benfica B,-,Fin de préstamo
19683,3077.0,12/13,01/08/2012,Benfica B,Fátima,-,Préstamo
19684,3077.0,12/13,01/07/2012,Sintrense,Benfica B,-,Libre
19685,3077.0,11/12,01/07/2011,Sintrense U19,Sintrense,-,-
19686,3078.0,16/17,30/01/2017,UC Sampdoria,Benfica,"2,00 mill. €","6,00 mill. €"
19687,3078.0,15/16,02/07/2015,Benfica U17,UC Sampdoria,200 miles €,190 miles €
