,Avatar,Nombre,Nombre_Completo,Dorsal,Nacionalidad,bandera_pais,valor,Equipo,Altura,Pie,Edad,Fecha_nacimiento,Contrato_hasta,Posicion,Fichado,Agente,Lugar_nacimiento,Proveedror
3066,tmssl.akamaized.net//images/portrait/header/238223-1474545573.jpg?lm=1474545581,Ederson,-,1,Brasil,//tmssl.akamaized.net//images/flagge/verysmall/26.png?lm=1396275477,"7,00 mill. € ",116.0,"1,88m",izquierdo,23,17/08/1993,30.06.2023,Portero,01/07/2015,Gestifute,Osasco (SP)  ,-
3067,tmssl.akamaized.net//images/portrait/header/22412-1474546042.jpg?lm=1474546074,Júlio César,Júlio César Soares Espíndola,12,Brasil,//tmssl.akamaized.net//images/flagge/verysmall/26.png?lm=1396275477,"1,00 mill. € ",116.0,"1,87m",izquierdo,37,03/09/1979,30.06.2018,Portero,19/08/2014,Josias Cardoso,Duque de Caxias  ,-
3068,tmssl.akamaized.net//images/portrait/header/25236-1474546522.jpg?lm=1474546534,Paulo Lopes,Paulo Jorge Pedro Lopes,13,Portugal,//tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1396275486,100 miles € ,116.0,"1,81m",derecho,38,29/06/1978,30.06.2017,Portero,01/07/2012,ACRsoccer - Sports Management Careers,Mirandela  ,-
3069,tmssl.akamaized.net//images/portrait/header/184573-1474546135.jpg?lm=1474546143,Victor Lindelöf,Victor Nilsson-Lindelöf,14,Suecia,//tmssl.akamaized.net//images/flagge/verysmall/147.png?lm=1396275478,"12,00 mill. € ",116.0,"1,87m",derecho,22,17/07/1994,30.06.2020,Defensa - Defensa central,01/07/2015,HCM Sport Agency,Västerås  ,-
3070,tmssl.akamaized.net//images/portrait/header/122946-1474545821.jpg?lm=1474545828,Jardel,Jardel Nivaldo Vieira,33,Brasil,//tmssl.akamaized.net//images/flagge/verysmall/26.png?lm=1396275477,"7,50 mill. € ",116.0,"1,92m",derecho,30,29/03/1986,30.06.2020,Defensa - Defensa central,01/01/2011,Ulisses Santos - US11,Florianópolis  ,-
3071,tmssl.akamaized.net//images/portrait/header/125019-1474546173.jpg?lm=1474546182,Lisandro López,Lisandro Ezequiel López,2,Argentina,//tmssl.akamaized.net//images/flagge/verysmall/9.png?lm=1396275477,"6,00 mill. € ",116.0,"1,87m",derecho,27,01/09/1989,30.06.2021,Defensa - Defensa central,10/07/2013,Twenty Two S.A.,Villa Constitución  ,-
3072,tmssl.akamaized.net//images/portrait/header/13230-1474546207.jpg?lm=1474546248,Luisão,Ânderson Luís Ânderson Luís,4,Brasil,//tmssl.akamaized.net//images/flagge/verysmall/26.png?lm=1396275477,"1,50 mill. € ",116.0,"1,93m",derecho,36,13/02/1981,30.06.2017,Defensa - Defensa central,01/08/2003,Euro Export Assessoria e Propaganda Ltda.,Amparo  ,-
3073,tmssl.akamaized.net//images/portrait/header/193082-1474545688.jpg?lm=1474545705,Alejandro Grimaldo,Alejandro Grimaldo García,3,España,//tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1396275477,"7,00 mill. € ",116.0,"1,71m",izquierdo,21,20/09/1995,30.06.2021,Defensa - Lateral izquierdo,01/01/2016,IFM,Valencia  ,adidas
3074,tmssl.akamaized.net//images/portrait/header/83466-1474545403.jpg?lm=1474545416,André Almeida,André Gomes Magalhães de Almeida,34,Portugal,//tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1396275486,"7,00 mill. € ",116.0,"1,86m",derecho,26,10/09/1990,30.06.2019,Defensa - Lateral izquierdo,01/07/2011,SEG,Lisboa  ,-
3075,tmssl.akamaized.net//images/portrait/header/14192-1445438472.jpg?lm=1445438538,Eliseu,Eliseu Pereira dos Santos,19,Portugal,//tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1396275486,"1,50 mill. € ",116.0,"1,76m",izquierdo,33,01/10/1983,30.06.2017,Defensa - Lateral izquierdo,24/07/2014,Proeleven Gestão Desportiva Lda,Angra do Heroísmo  ,-
