,Avatar,Nombre,Nombre_Completo,Dorsal,Nacionalidad,bandera_pais,valor,Equipo,Altura,Pie,Edad,Fecha_nacimiento,Contrato_hasta,Posicion,Fichado,Agente,Lugar_nacimiento,Proveedror
4081,tmssl.akamaized.net//images/portrait/header/127202-1449740932.jpg?lm=1449741017,Matz Sels,-,28,Bélgica,//tmssl.akamaized.net//images/flagge/verysmall/19.png?lm=1396275450,"6,50 mill. € ",156.0,"1,88m",derecho,24,26/02/1992,30.06.2021,Portero,01/07/2016,Sin agente,Lint  ,-
4082,tmssl.akamaized.net//bilder/spielerfotos/s_99397_703_2013_09_26_1.jpg?lm=0,Karl Darlow,-,26,Inglaterra,//tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1396275477,"2,50 mill. € ",156.0,"1,85m",derecho,26,08/10/1990,30.06.2020,Portero,09/08/2014,Unique Sports Management,Northampton  ,-
4083,tmssl.akamaized.net//bilder/spielerfotos/s_39037_762_2012_1.jpg?lm=0,Rob Elliot,Robert Elliot,21,Irlanda,//tmssl.akamaized.net//images/flagge/verysmall/72.png?lm=1396275478,"1,50 mill. € ",156.0,"1,90m",-,30,30/04/1986,30.06.2020,Portero,30/08/2011,The Players Agency LLP,Greenwich  ,-
4084,tmssl.akamaized.net//bilder/spielerfotos/s_203348_58_2012_1.jpg?lm=0,Chancel Mbemba,Chancel Mbemba Mangulu,18,República Democrática del Congo,//tmssl.akamaized.net//images/flagge/verysmall/193.png?lm=1396275486,"10,00 mill. € ",156.0,"1,82m",derecho,22,08/08/1994,30.06.2020,Defensa - Defensa central,30/07/2015,Trois Sportmanagement,Kinshasa  ,-
4085,tmssl.akamaized.net//images/portrait/header/98240-1410950237.jpg?lm=1433145109,Ciaran Clark,-,2,Irlanda,//tmssl.akamaized.net//images/flagge/verysmall/72.png?lm=1396275478,"5,00 mill. € ",156.0,"1,88m",izquierdo,27,26/09/1989,30.06.2021,Defensa - Defensa central,03/08/2016,Gregor Machulik,Harrow  ,-
4086,tmssl.akamaized.net//bilder/spielerfotos/s_121385_164_2013_03_05_1.jpg?lm=0,Grant Hanley,-,5,Escocia,//tmssl.akamaized.net//images/flagge/verysmall/190.png?lm=1396275477,"4,50 mill. € ",156.0,"1,88m",derecho,25,20/11/1991,30.06.2021,Defensa - Defensa central,21/07/2016,-,Dumfries  ,-
4087,tmssl.akamaized.net//bilder/spielerfotos/s_183318_703_2013_06_14_1.jpg?lm=0,Jamaal Lascelles,-,6,Inglaterra,//tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1396275477,"4,00 mill. € ",156.0,"1,89m",derecho,23,11/11/1993,30.06.2020,Defensa - Defensa central,09/08/2014,Unique Sports Management,Derby  ,-
4088,tmssl.akamaized.net//bilder/spielerfotos/s_179471_762_2012_1.jpg?lm=0,Curtis Good,Curtis Edward Good,38,Australia,//tmssl.akamaized.net//images/flagge/verysmall/12.png?lm=1396275478,350 miles € ,156.0,"1,87m",izquierdo,23,23/03/1993,30.06.2018,Defensa - Defensa central,31/07/2012,The Pitch management,Melbourne  ,-
4089,tmssl.akamaized.net//images/portrait/header/170321-1414660536.jpg?lm=1433143796,Paul Dummett,-,3,Gales,//tmssl.akamaized.net//images/flagge/verysmall/191.png?lm=1396275486,"3,50 mill. € ",156.0,"1,83m",izquierdo,25,26/09/1991,30.06.2018,Defensa - Lateral izquierdo,01/07/2010,Soccertalents,Newcastle upon Tyne  ,-
4090,tmssl.akamaized.net//images/portrait/header/139173-1448983621.jpg?lm=1448983658,Achraf Lazaar,أشرف لزعر,7,Marruecos,//tmssl.akamaized.net//images/flagge/verysmall/107.png?lm=1396275477,"3,00 mill. € ",156.0,"1,84m",izquierdo,25,22/01/1992,30.06.2021,Defensa - Lateral izquierdo,28/08/2016,Marco Kirdemir,Casablanca  ,-
4091,tmssl.akamaized.net//bilder/spielerfotos/s_170929_1159_2013_01_10_1.jpg?lm=0,Massadio Haidara,Massadio Haïdara,19,Francia,//tmssl.akamaized.net//images/flagge/verysmall/50.png?lm=1396275450,"1,50 mill. € ",156.0,"1,79m",izquierdo,24,02/12/1992,30.06.2018,Defensa - Lateral izquierdo,24/01/2013,-,Trappes  ,-
