,competicion,nombre_Equipo,escudo,plantilla,edad_media,extranjeros,valor
134,7.0,Levante UD,//tmssl.akamaized.net//images/wappen/head/3368.png?lm=1408655062,22,"26,8",2,"22,00 mill. €"
135,7.0,Rayo Vallecano,//tmssl.akamaized.net//images/wappen/head/367.png?lm=1408654926,26,"28,8",8,"20,90 mill. €"
136,7.0,Getafe CF,//tmssl.akamaized.net//images/wappen/head/3709.png?lm=1408655116,21,"29,8",9,"19,50 mill. €"
137,7.0,Real Valladolid CF,//tmssl.akamaized.net//images/wappen/head/366.png?lm=1407484674,22,"26,5",5,"17,20 mill. €"
138,7.0,Girona FC,//tmssl.akamaized.net//images/wappen/head/12321.png?lm=1407563608,24,"26,9",3,"17,00 mill. €"
139,7.0,Sevilla Atlético,//tmssl.akamaized.net//images/wappen/head/8519.png?lm=1408655526,26,"21,1",8,"15,80 mill. €"
140,7.0,Real Oviedo,//tmssl.akamaized.net//images/wappen/head/2497.png?lm=1417193316,25,"28,5",2,"14,00 mill. €"
141,7.0,Córdoba CF,//tmssl.akamaized.net//images/wappen/head/993.png?lm=1458766826,25,"28,3",7,"13,00 mill. €"
142,7.0,RCD Mallorca,//tmssl.akamaized.net//images/wappen/head/237.png?lm=1407484750,24,"27,3",6,"12,85 mill. €"
143,7.0,UD Almería,//tmssl.akamaized.net//images/wappen/head/3302.png?lm=1408654801,23,"28,7",6,"12,70 mill. €"
144,7.0,Real Zaragoza,//tmssl.akamaized.net//images/wappen/head/142.png?lm=1405877974,24,"28,3",8,"12,58 mill. €"
145,7.0,Elche CF,//tmssl.akamaized.net//images/wappen/head/1531.png?lm=1421955260,26,"27,7",3,"11,70 mill. €"
146,7.0,CD Tenerife,//tmssl.akamaized.net//images/wappen/head/648.png?lm=1407563179,22,"27,6",7,"11,60 mill. €"
147,7.0,CD Numancia,//tmssl.akamaized.net//images/wappen/head/2296.png?lm=1438505132,24,"27,7",2,"11,45 mill. €"
148,7.0,Gimnàstic de Tarragona,//tmssl.akamaized.net//images/wappen/head/5648.png?lm=1437940874,26,"27,7",11,"11,10 mill. €"
149,7.0,Cádiz CF,//tmssl.akamaized.net//images/wappen/head/2687.png?lm=1417193371,25,"27,8",4,"10,55 mill. €"
150,7.0,SD Huesca,//tmssl.akamaized.net//images/wappen/head/5358.png?lm=1417644487,22,"29,0",6,"10,30 mill. €"
151,7.0,AD Alcorcón,//tmssl.akamaized.net//images/wappen/head/11596.png?lm=1468166397,21,"27,0",8,"10,10 mill. €"
152,7.0,CF Reus Deportiu,//tmssl.akamaized.net//images/wappen/head/13225.png?lm=1437940733,25,"27,9",6,"9,90 mill. €"
153,7.0,CD Lugo,//tmssl.akamaized.net//images/wappen/head/11000.png?lm=1405933427,24,"26,8",5,"9,55 mill. €"
154,7.0,CD Mirandés,//tmssl.akamaized.net//images/wappen/head/13222.png?lm=1407484616,25,"27,0",0,"9,50 mill. €"
155,7.0,UCAM Murcia CF,//tmssl.akamaized.net//images/wappen/head/34148.png?lm=1438592185,23,"28,6",5,"7,90 mill. €"
