,Jugador,Temporada,Competicion,Club,Plantilla,Alineaciones,Puntos por partido,Goles,PasesGol,GolesPropiaMeta,CambiosFuera,CambiosDentro,Amarillas,DobleAmarillas,Rojas,PenaltisAnotados,MinutosPorGol,MinutosJugados,GolesEnContra,PartidoSinGolEnContra
78289,3556.0,16/17,LaLiga2,Levante UD,23,20,"2,25",-,-,-,-,-,2,-,-,-,-,1.800',13,12
78290,3556.0,16/17,Copa del Rey,Levante UD,1,1,"0,00",-,-,-,-,-,-,-,-,-,-,120',1,-
78291,3556.0,15/16,LaLiga2,CD Mirandés,41,41,"1,20",-,-,-,-,-,2,-,1,-,-,3.616',55,9
78292,3556.0,15/16,Copa del Rey,CD Mirandés,8,8,"1,63",-,-,-,-,-,1,-,-,-,-,750',11,2
78293,3556.0,14/15,Promoción de ascenso a LaLiga ,Real Valladolid CF,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
78294,3556.0,14/15,LaLiga2,Real Valladolid CF,21,1,"0,00",-,-,-,-,-,-,-,-,-,-,90',8,1
78295,3556.0,14/15,LaLiga2,Racing de Santander,21,4,"1,00",-,-,-,-,-,-,-,-,-,-,360',8,1
78296,3556.0,13/14,LaLiga2,CD Numancia,34,11,"1,36",-,-,-,-,-,1,-,-,-,-,990',9,6
78297,3556.0,13/14,Copa del Rey,CD Numancia,1,1,"0,00",-,-,-,-,-,-,-,-,-,-,90',1,-
78298,3556.0,12/13,LaLiga,Athletic Club,38,4,"0,25",-,-,-,-,-,-,-,-,-,-,360',6,1
78299,3556.0,12/13,Copa del Rey,Athletic Club,2,2,"1,00",-,-,-,-,-,-,-,-,-,-,180',1,1
78300,3556.0,12/13,Europa League,Athletic Club,8,3,"1,67",-,-,-,-,-,-,-,-,-,-,270',3,2
78301,3556.0,12/13,Europa League Qualifikation,Athletic Club,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
78302,3556.0,11/12,Copa del Rey,Athletic Club,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
78303,3556.0,11/12,LaLiga,Athletic Club,38,1,"1,00",-,-,-,-,-,1,-,-,-,-,90',-,1
78304,3556.0,11/12,Europa League,Athletic Club,16,1,"0,00",-,-,-,-,-,-,-,-,-,-,90',4,-
78305,3556.0,10/11,LaLiga,Athletic Club,37,1,"3,00",-,-,-,-,-,-,-,-,-,-,90',1,-
78306,3556.0,10/11,Copa del Rey,Athletic Club,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
78307,3556.0,07/08,LaLiga,Athletic Club,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
78308,3556.0,07/08,Segunda División B - Grupo II,Bilbao Athletic,3,2,"0,50",-,-,-,-,-,-,-,-,-,-,180',4,-
78309,3556.0,07/08,Copa del Rey,Athletic Club,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
78310,3557.0,16/17,LaLiga2,Levante UD,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
78311,3557.0,16/17,LaLiga,Granada CF,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
78312,3557.0,16/17,Copa del Rey,Granada CF,1,1,"0,00",-,-,-,-,-,-,-,-,-,-,90',2,-
78313,3557.0,15/16,LaLiga,Real Sociedad,31,3,"1,00",-,-,-,1,-,1,-,-,-,-,227',5,1
78314,3557.0,15/16,Copa del Rey,Real Sociedad,2,2,"0,50",-,-,-,-,-,-,-,1,-,-,179',3,-
78315,3557.0,14/15,LaLiga,Granada CF,38,14,"0,79",-,-,-,-,-,-,-,-,-,-,1.260',27,4
78316,3557.0,14/15,Copa del Rey,Granada CF,4,2,"2,00",-,-,-,-,-,-,-,-,-,-,180',1,1
78317,3557.0,13/14,LaLiga,FC Barcelona,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
78318,3557.0,13/14,Copa del Rey,FC Barcelona,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
78319,3557.0,13/14,Liga de Campeones de la UEFA,FC Barcelona,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
78320,3557.0,12/13,LaLiga2,FC Barcelona B,24,19,"1,21",-,-,-,-,-,-,1,1,-,-,1.698',31,5
78321,3557.0,12/13,LaLiga,FC Barcelona,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
78322,3557.0,12/13,Copa del Rey,FC Barcelona,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
78323,3557.0,11/12,LaLiga2,FC Barcelona B,34,23,"1,57",-,-,-,-,-,1,-,-,-,-,2.070',25,9
