,Jugador,Temporada,Dato,Ultimo_club,Nuevo_club,Valor,Coste
23042,3556.0,16/17,01/07/2016,CD Mirandés,Levante UD,600 miles €,Libre
23043,3556.0,15/16,01/07/2015,Real Valladolid,CD Mirandés,400 miles €,Libre
23044,3556.0,14/15,22/01/2015,Racing,Real Valladolid,500 miles €,Libre
23045,3556.0,14/15,18/07/2014,Athletic Bilbao,Racing,800 miles €,Libre
23046,3556.0,13/14,30/06/2014,CD Numancia,Athletic Bilbao,800 miles €,Fin de préstamo
23047,3556.0,13/14,10/07/2013,Athletic Bilbao,CD Numancia,"1,50 mill. €",Préstamo
23048,3556.0,10/11,01/07/2010,Bilbao Athletic,Athletic Bilbao,500 miles €,-
23049,3556.0,09/10,30/06/2010,Granada CF,Bilbao Athletic,500 miles €,Fin de préstamo
23050,3556.0,09/10,01/08/2009,Bilbao Athletic,Granada CF,500 miles €,Préstamo
23051,3556.0,08/09,30/06/2009,UB Conquense,Bilbao Athletic,500 miles €,Fin de préstamo
23052,3556.0,08/09,01/07/2008,Bilbao Athletic,UB Conquense,500 miles €,Préstamo
23053,3556.0,07/08,01/06/2008,Athletic Bilbao,Bilbao Athletic,500 miles €,-
23054,3556.0,07/08,01/11/2007,Bilbao Athletic,Athletic Bilbao,100 miles €,-
23055,3556.0,07/08,01/07/2007,CD Basconia,Bilbao Athletic,-,-
23056,3557.0,16/17,29/01/2017,Granada CF,Levante UD,800 miles €,Préstamo
23057,3557.0,15/16,30/06/2016,Real Sociedad,Granada CF,"1,00 mill. €",Fin de préstamo
23058,3557.0,15/16,25/08/2015,Granada CF,Real Sociedad,"1,00 mill. €",Préstamo
23059,3557.0,14/15,11/07/2014,FC Barcelona,Granada CF,800 miles €,Libre
23060,3557.0,13/14,01/07/2013,FC Barcelona B,FC Barcelona,"1,50 mill. €",-
23061,3557.0,08/09,01/07/2008,FC Barcelona,FC Barcelona B,600 miles €,-
23062,3557.0,07/08,01/08/2007,FC Barcelona B,FC Barcelona,50 miles €,-
23063,3557.0,07/08,01/07/2007,Real Unión,FC Barcelona B,50 miles €,Libre
23064,3558.0,16/17,05/08/2016,AD Alcorcón,Levante UD,600 miles €,600 miles €
23065,3558.0,14/15,01/07/2014,AD Alcorcón B,AD Alcorcón,200 miles €,-
23066,3558.0,13/14,01/07/2013,Atl. Madrid C,AD Alcorcón B,-,Libre
23067,3558.0,11/12,01/07/2011,Elche Ilicitano,Atl. Madrid C,-,Libre
23068,3558.0,10/11,01/07/2010,Elche Juvenil,Elche Ilicitano,-,-
23069,3559.0,16/17,16/07/2016,Spezia Calcio,Levante UD,600 miles €,250 miles €
23070,3559.0,15/16,20/07/2015,CD Leganés,Spezia Calcio,400 miles €,300 miles €
23071,3559.0,13/14,12/07/2013,Getafe CF B,CD Leganés,-,Libre
23072,3559.0,12/13,01/07/2012,CA Osasuna B,Getafe CF B,-,Libre
23073,3559.0,10/11,01/07/2010,CD Leganés,CA Osasuna B,-,Libre
23074,3559.0,08/09,01/07/2008,CD Leganés B,CD Leganés,-,-
23075,3559.0,07/08,01/07/2007,CD Leganés Juv.,CD Leganés B,-,-
23076,3560.0,16/17,14/08/2016,Racing Club,Levante UD,800 miles €,500 miles €
23077,3560.0,15/16,30/06/2016,UD Almería,Racing Club,600 miles €,Fin de préstamo
23078,3560.0,15/16,24/01/2016,Racing Club,UD Almería,600 miles €,Préstamo
23079,3560.0,15/16,31/12/2015,Defensa,Racing Club,600 miles €,Fin de préstamo
