,Avatar,Nombre,Nombre_Completo,Dorsal,Nacionalidad,bandera_pais,valor,Equipo,Altura,Pie,Edad,Fecha_nacimiento,Contrato_hasta,Posicion,Fichado,Agente,Lugar_nacimiento,Proveedror
3556,tmssl.akamaized.net//bilder/spielerfotos/somebody.jpg?lm=0,Raúl Fernández,Raúl Fernández Cavada Mateos,1,España,//tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1396275477,"1,00 mill. € ",134.0,"1,96m",-,28,13/03/1988,30.06.2018,Portero,01/07/2016,YOU FIRST SPORTS,Bilbao  ,-
3557,tmssl.akamaized.net//images/portrait/header/8176-1447314190.jpg?lm=1447314212,Oier Olazábal,Oier Olazábal Paredes,13,España,//tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1396275477,800 miles € ,134.0,"1,90m",izquierdo,27,14/09/1989,30.06.2017,Portero,29/01/2017,-,Irún  ,-
3558,tmssl.akamaized.net//images/portrait/header/default.jpg?lm=1455618221,Chema,-,16,España,//tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1396275477,"1,00 mill. € ",134.0,"1,89m",izquierdo,24,03/03/1992,30.06.2020,Defensa - Defensa central,05/08/2016,-,Caudete  ,-
3559,tmssl.akamaized.net//images/portrait/header/158791-1442988273.png?lm=1442988281,Sergio Postigo,Sergio Postigo Redondo,15,España,//tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1396275477,800 miles € ,134.0,"1,85m",derecho,28,04/11/1988,30.06.2018,Defensa - Defensa central,16/07/2016,JPA Soccer,Madrid  ,-
3560,tmssl.akamaized.net//images/portrait/header/default.jpg?lm=1455618221,Esteban Saveljich,Esteban Ariel Saveljich,12,Montenegro,//tmssl.akamaized.net//images/flagge/verysmall/216.png?lm=1396275450,600 miles € ,134.0,"1,87m",derecho,25,20/05/1991,30.06.2020,Defensa - Defensa central,14/08/2016,-,Tandil  ,-
3561,tmssl.akamaized.net//images/portrait/header/387129-1446727633.jpg?lm=1446727667,Rober Suarez,Roberto Suárez Pier,4,España,//tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1396275477,400 miles € ,134.0,"1,82m",derecho,21,16/02/1995,30.06.2017,Defensa - Defensa central,06/07/2016,-,A Coruña  ,-
3562,tmssl.akamaized.net//images/portrait/header/125931-1447315956.jpg?lm=1447315993,Toño,-,3,España,//tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1396275477,"1,20 mill. € ",134.0,"1,79m",izquierdo,27,07/11/1989,30.06.2019,Defensa - Lateral izquierdo,26/08/2014,InterStarDeporte,Valencia  ,-
3563,tmssl.akamaized.net//bilder/spielerfotos/s_95483_142_2012_10_24_1.jpg?lm=0,Abraham Minero,Abraham Minero Fernández,22,España,//tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1396275477,500 miles € ,134.0,"1,75m",izquierdo,30,22/02/1986,30.06.2017,Defensa - Lateral izquierdo,07/07/2016,promoesport bcn,Granollers  ,-
3564,tmssl.akamaized.net//images/portrait/header/203778-1447315321.jpg?lm=1447315763,Iván López,Iván López Mendoza,2,España,//tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1396275477,800 miles € ,134.0,"1,75m",derecho,23,23/08/1993,30.06.2020,Defensa - Lateral derecho,01/07/2013,-,Valencia  ,-
3565,tmssl.akamaized.net//images/portrait/header/25412-1447315328.jpg?lm=1447315775,Pedro López,Pedro López Muñoz,19,España,//tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1396275477,500 miles € ,134.0,"1,74m",derecho,33,01/11/1983,30.06.2017,Defensa - Lateral derecho,01/07/2011,-,"Torrent, Valencia  ",-
3566,tmssl.akamaized.net//images/portrait/header/262980-1447315315.jpg?lm=1447315755,Jefferson Lerma,Jefferson Andrés Lerma Solís,8,Colombia,//tmssl.akamaized.net//images/flagge/verysmall/83.png?lm=1396275477,"1,20 mill. € ",134.0,"1,79m",derecho,22,25/10/1994,30.06.2020,Medio campo - Pivote,01/07/2016,Sin agente,Cerrito  ,-
3567,tmssl.akamaized.net//bilder/spielerfotos/s_57808_589_2014_02_11_1.jpg?lm=0,Natxo Insa,Ignacio Insa Bohigues,21,España,//tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1396275477,800 miles € ,134.0,"1,77m",derecho,30,09/06/1986,30.06.2018,Medio campo - Pivote,01/07/2016,Marco Kirdemir,Cocentaina  ,-
3568,tmssl.akamaized.net//images/portrait/header/120095-1468936032.jpg?lm=1468936041,José Campaña,José Ángel Gómez Campaña,24,España,//tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1396275477,"1,80 mill. € ",134.0,"1,79m",derecho,23,31/05/1993,30.06.2020,Medio campo - Medio centro,11/08/2016,SPAIN SPORT INSURANCE 2011 SL,Sevilla  ,-
3569,tmssl.akamaized.net//images/portrait/header/26199-1447315972.jpg?lm=1447316019,Verza,José Antonio García Rabasco,7,España,//tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1396275477,"1,20 mill. € ",134.0,"1,81m",derecho,30,29/09/1986,30.06.2019,Medio campo - Medio centro,01/07/2015,InterStarDeporte,Orihuela  ,-
3570,tmssl.akamaized.net//images/portrait/header/128219-1418295954.jpg?lm=1433143567,Javier Espinosa,Javier Espinosa González,6,España,//tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1396275477,"1,80 mill. € ",134.0,"1,74m",derecho,24,19/09/1992,30.06.2018,Medio campo - Medio centro ofensivo,19/07/2016,Minguella Football Management,Talavera de la Reina  ,-
3571,tmssl.akamaized.net//images/portrait/header/252677-1447315847.jpg?lm=1447315875,José Luis Morales,José Luis Morales Nogales,11,España,//tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1396275477,"2,00 mill. € ",134.0,"1,80m",derecho,29,23/07/1987,30.06.2019,Delantero - Extremo izquierdo,01/07/2013,-,Madrid  ,-
3572,tmssl.akamaized.net//images/portrait/header/40442-1447228760.jpg?lm=1447228792,Paco Montañés,Francisco Montañés Claverías,20,España,//tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1396275477,800 miles € ,134.0,"1,72m",derecho,30,08/10/1986,30.06.2017,Delantero - Extremo izquierdo,11/08/2016,-,Castellón de la Plana  ,-
3573,tmssl.akamaized.net//images/portrait/header/213260-1447315103.jpg?lm=1447315133,Rubén García,Rubén García Santos,10,España,//tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1396275477,"1,50 mill. € ",134.0,"1,71m",izquierdo,23,14/07/1993,30.06.2018,Delantero - Extremo derecho,01/07/2012,Toldra Consulting S.L.,Valencia  ,-
3574,tmssl.akamaized.net//images/portrait/header/default.jpg?lm=1455618221,Jason,-,23,España,//tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1396275477,600 miles € ,134.0,"1,78m",derecho,22,06/07/1994,30.06.2019,Delantero - Extremo derecho,01/07/2015,leaderbrock,A Coruña  ,-
3575,tmssl.akamaized.net//images/portrait/header/212391-1447315858.jpg?lm=1447315893,Roger Martí,Roger Martí Salvador,9,España,//tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1396275477,"1,50 mill. € ",134.0,"1,78m",derecho,26,03/01/1991,30.06.2019,Delantero - Delantero centro,01/01/2013,-,Torrent  ,-
3576,tmssl.akamaized.net//images/portrait/header/35540-1447314965.jpg?lm=1447315004,Víctor Casadesús,Víctor Casadesús Castaño,18,España,//tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1396275477,800 miles € ,134.0,"1,80m",derecho,31,28/02/1985,30.06.2017,Delantero - Delantero centro,31/01/2014,Miembro de su familia,Algaida  ,-
3577,tmssl.akamaized.net//images/portrait/header/268958-1447421349.jpg?lm=1447421394,Juan Muñoz,Juan Muñoz Muñoz,17,España,//tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1396275477,400 miles € ,134.0,"1,78m",derecho,21,12/11/1995,30.06.2017,Delantero - Delantero centro,24/01/2017,-,Utrera  ,-
3578,tmssl.akamaized.net//bilder/spielerfotos/s_195488_180_2012_1.jpg?lm=0,Paulo Gazzaniga,Paulo Dino Gazzaniga,1,Argentina,//tmssl.akamaized.net//images/flagge/verysmall/9.png?lm=1396275477,800 miles € ,135.0,"1,96m",derecho,25,02/01/1992,30.06.2017,Portero,29/07/2016,-,Murphy  ,-
3579,tmssl.akamaized.net//bilder/spielerfotos/s_62947_6767_2010_1.jpg?lm=0,Tomás Mejías,Tomás Mejías Osorio,25,España,//tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1396275477,300 miles € ,135.0,"1,95m",derecho,28,30/01/1989,30.06.2017,Portero,05/01/2017,-,Madrid  ,-
3580,tmssl.akamaized.net//bilder/spielerfotos/s_35536_16795_2012_2.jpg?lm=0,Toño,-,13,España,//tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1396275477,100 miles € ,135.0,"1,82m",derecho,37,17/12/1979,30.06.2017,Portero,01/09/2014,Tente Sanchez,Alicante  ,-
3581,tmssl.akamaized.net//images/portrait/header/13872-1447238472.jpg?lm=1447238508,Zé Castro,-,18,Portugal,//tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1396275486,800 miles € ,135.0,"1,83m",derecho,34,13/01/1983,30.06.2018,Defensa - Defensa central,29/08/2013,-,Coimbra  ,-
