,competicion,nombre_Equipo,escudo,plantilla,edad_media,extranjeros,valor
0,0.0,Manchester City,//tmssl.akamaized.net//images/wappen/head/281.png?lm=1467356331,24,"28,4",20,"540,25 mill. €"
1,0.0,Manchester United,//tmssl.akamaized.net//images/wappen/head/985.png?lm=1457975903,25,27,16,"497,00 mill. €"
2,0.0,FC Arsenal,//tmssl.akamaized.net//images/wappen/head/11.png?lm=1444558807,27,"27,1",21,"489,00 mill. €"
3,0.0,Chelsea FC,//tmssl.akamaized.net//images/wappen/head/631.png?lm=1444558831,26,"26,2",20,"478,80 mill. €"
4,0.0,Tottenham Hotspur,//tmssl.akamaized.net//images/wappen/head/148.png?lm=1472229278,24,25,16,"370,00 mill. €"
5,0.0,FC Liverpool,//tmssl.akamaized.net//images/wappen/head/31.png?lm=1456567819,26,26,16,"364,70 mill. €"
6,0.0,FC Everton,//tmssl.akamaized.net//images/wappen/head/29.png?lm=1445949846,24,"27,3",14,"243,10 mill. €"
7,0.0,FC Southampton,//tmssl.akamaized.net//images/wappen/head/180.png?lm=1444560086,28,"26,1",16,"215,00 mill. €"
8,0.0,Leicester City,//tmssl.akamaized.net//images/wappen/head/1003.png?lm=1472229265,25,"27,5",18,"212,30 mill. €"
9,0.0,West Ham United,//tmssl.akamaized.net//images/wappen/head/379.png?lm=1464675260,27,27,21,"208,40 mill. €"
10,0.0,Crystal Palace,//tmssl.akamaized.net//images/wappen/head/873.png?lm=1457723287,28,"28,6",19,"190,75 mill. €"
11,0.0,Stoke City,//tmssl.akamaized.net//images/wappen/head/512.png?lm=1472243727,25,29,19,"174,75 mill. €"
12,0.0,FC Watford,//tmssl.akamaized.net//images/wappen/head/1010.png?lm=1468103673,26,"28,8",23,"131,00 mill. €"
13,0.0,Swansea City,//tmssl.akamaized.net//images/wappen/head/2288.png?lm=1472243738,27,"27,8",27,"123,85 mill. €"
14,0.0,Hull City,//tmssl.akamaized.net//images/wappen/head/3008.png?lm=1406299609,29,"26,9",18,"120,35 mill. €"
15,0.0,AFC Bournemouth,//tmssl.akamaized.net//images/wappen/head/989.png?lm=1457991811,26,"26,1",10,"110,55 mill. €"
16,0.0,AFC Sunderland,//tmssl.akamaized.net//images/wappen/head/289.png?lm=1485645633,28,"26,9",20,"99,25 mill. €"
17,0.0,FC Middlesbrough,//tmssl.akamaized.net//images/wappen/head/641.png?lm=1443702192,25,"27,7",15,"95,75 mill. €"
18,0.0,West Bromwich Albion,//tmssl.akamaized.net//images/wappen/head/984.png?lm=1457991758,21,"28,8",15,"95,60 mill. €"
19,0.0,FC Burnley,//tmssl.akamaized.net//images/wappen/head/1132.png?lm=1407564411,23,28,9,"76,00 mill. €"
20,1.0,Real Madrid CF,//tmssl.akamaized.net//images/wappen/head/418.png?lm=1403089383,24,27,15,"766,80 mill. €"
21,1.0,FC Barcelona,//tmssl.akamaized.net//images/wappen/head/131.png?lm=1406739548,22,"27,4",13,"753,50 mill. €"
22,1.0,Atlético de Madrid,//tmssl.akamaized.net//images/wappen/head/13.png?lm=1480752574,23,"27,4",17,"497,50 mill. €"
23,1.0,Sevilla FC,//tmssl.akamaized.net//images/wappen/head/368.png?lm=1408655455,24,"27,3",18,"236,00 mill. €"
24,1.0,Valencia CF,//tmssl.akamaized.net//images/wappen/head/1049.png?lm=1406966320,22,"26,3",12,"184,70 mill. €"
25,1.0,Villarreal CF,//tmssl.akamaized.net//images/wappen/head/1050.png?lm=1408655310,23,"27,7",10,"174,00 mill. €"
26,1.0,Athletic Club,//tmssl.akamaized.net//images/wappen/head/621.png?lm=1455649475,23,"27,4",1,"152,80 mill. €"
27,1.0,Real Sociedad,//tmssl.akamaized.net//images/wappen/head/681.png?lm=1469965714,23,"26,9",3,"112,10 mill. €"
28,1.0,Celta de Vigo,//tmssl.akamaized.net//images/wappen/head/940.png?lm=1406966406,24,"26,1",12,"103,60 mill. €"
29,1.0,Málaga CF,//tmssl.akamaized.net//images/wappen/head/1084.png?lm=1474921800,28,"26,9",16,"77,50 mill. €"
30,1.0,UD Las Palmas,//tmssl.akamaized.net//images/wappen/head/472.png?lm=1407484865,23,"27,5",7,"69,50 mill. €"
31,1.0,Real Betis Balompié,//tmssl.akamaized.net//images/wappen/head/150.png?lm=1407484550,26,"26,9",12,"66,40 mill. €"
32,1.0,Deportivo de La Coruña,//tmssl.akamaized.net//images/wappen/head/897.png?lm=1408655006,23,28,14,"65,80 mill. €"
33,1.0,RCD Espanyol,//tmssl.akamaized.net//images/wappen/head/714.png?lm=1406966369,23,"27,6",7,"64,45 mill. €"
34,1.0,Deportivo Alavés,//tmssl.akamaized.net//images/wappen/head/1108.png?lm=1438505152,23,26,9,"62,10 mill. €"
35,1.0,Granada CF,//tmssl.akamaized.net//images/wappen/head/16795.png?lm=1408655230,25,"24,8",21,"57,00 mill. €"
36,1.0,SD Eibar,//tmssl.akamaized.net//images/wappen/head/1533.png?lm=1408654757,22,"27,1",5,"49,70 mill. €"
37,1.0,Sporting de Gijón,//tmssl.akamaized.net//images/wappen/head/2448.png?lm=1407484803,26,"26,6",8,"48,70 mill. €"
38,1.0,CD Leganés,//tmssl.akamaized.net//images/wappen/head/1244.png?lm=1422972468,27,"26,8",9,"43,10 mill. €"
39,1.0,CA Osasuna,//tmssl.akamaized.net//images/wappen/head/331.png?lm=1406739464,27,"27,4",7,"37,30 mill. €"
40,2.0,Juventus de Turín,//tmssl.akamaized.net//images/wappen/head/506.png?lm=1461750716,26,28,15,"447,80 mill. €"
41,2.0,SSC Napoli,//tmssl.akamaized.net//images/wappen/head/6195.png?lm=1437135876,25,"26,8",18,"324,75 mill. €"
42,2.0,Inter de Milán,//tmssl.akamaized.net//images/wappen/head/46.png?lm=1406106969,27,"27,3",19,"316,50 mill. €"
43,2.0,AS Roma,//tmssl.akamaized.net//images/wappen/head/12.png?lm=1438188314,24,"27,3",20,"289,00 mill. €"
44,2.0,AC Milan,//tmssl.akamaized.net//images/wappen/head/5.png?lm=1438547172,28,"26,4",12,"223,40 mill. €"
45,2.0,ACF Fiorentina,//tmssl.akamaized.net//images/wappen/head/430.png?lm=1437135860,25,"25,9",19,"176,15 mill. €"
46,2.0,Lazio,//tmssl.akamaized.net//images/wappen/head/398.png?lm=1439921237,26,"25,3",19,"165,55 mill. €"
47,2.0,Torino FC,//tmssl.akamaized.net//images/wappen/head/416.png?lm=1438548174,25,27,14,"121,00 mill. €"
48,2.0,US Sassuolo,//tmssl.akamaized.net//images/wappen/head/6574.png?lm=1438548058,27,"27,3",4,"100,70 mill. €"
49,2.0,Atalanta Bergamo,//tmssl.akamaized.net//images/wappen/head/800.png?lm=1438547428,28,"26,1",13,"90,25 mill. €"
50,2.0,Genoa CFC,//tmssl.akamaized.net//images/wappen/head/252.png?lm=1438591281,28,"27,1",18,"85,98 mill. €"
51,2.0,Udinese Calcio,//tmssl.akamaized.net//images/wappen/head/410.png?lm=1437136398,29,"25,7",24,"83,85 mill. €"
52,2.0,UC Sampdoria,//tmssl.akamaized.net//images/wappen/head/1038.png?lm=1438547684,26,"26,2",18,"82,80 mill. €"
53,2.0,FC Bologna,//tmssl.akamaized.net//images/wappen/head/1025.png?lm=1438547366,26,"25,1",17,"65,73 mill. €"
54,2.0,Cagliari Calcio,//tmssl.akamaized.net//images/wappen/head/1390.png?lm=1438548383,25,28,11,"54,35 mill. €"
55,2.0,FC Empoli,//tmssl.akamaized.net//images/wappen/head/749.png?lm=1437818422,26,"26,7",12,"39,83 mill. €"
56,2.0,Delfino Pescara 1936,//tmssl.akamaized.net//images/wappen/head/2921.png?lm=1437137700,30,"27,1",13,"37,58 mill. €"
57,2.0,Chievo Verona,//tmssl.akamaized.net//images/wappen/head/862.png?lm=1454498424,25,31,12,"36,53 mill. €"
58,2.0,US Palermo,//tmssl.akamaized.net//images/wappen/head/458.png?lm=1438547997,28,"25,6",17,"31,75 mill. €"
59,2.0,FC Crotone,//tmssl.akamaized.net//images/wappen/head/4083.png?lm=1437137511,26,"24,9",10,"24,55 mill. €"
60,3.0,FC Bayern de Múnich,//tmssl.akamaized.net//images/wappen/head/27.png?lm=1403163891,23,"27,6",14,"556,15 mill. €"
61,3.0,Borussia Dortmund,//tmssl.akamaized.net//images/wappen/head/16.png?lm=1396275280,28,"25,1",14,"378,35 mill. €"
62,3.0,Bayer 04 Leverkusen,//tmssl.akamaized.net//images/wappen/head/15.png?lm=1403163785,27,"24,9",14,"272,45 mill. €"
63,3.0,FC Schalke 04,//tmssl.akamaized.net//images/wappen/head/33.png?lm=1433588238,31,"25,4",18,"210,13 mill. €"
64,3.0,Borussia Mönchengladbach,//tmssl.akamaized.net//images/wappen/head/18.png?lm=1483890536,30,"24,9",14,"161,55 mill. €"
65,3.0,VfL Wolfsburg,//tmssl.akamaized.net//images/wappen/head/82.png?lm=1442954683,32,"25,1",15,"158,00 mill. €"
66,3.0,RasenBallsport Leipzig,//tmssl.akamaized.net//images/wappen/head/23826.png?lm=1472421480,23,"24,1",10,"111,03 mill. €"
67,3.0,TSG 1899 Hoffenheim,//tmssl.akamaized.net//images/wappen/head/533.png?lm=1458907862,25,"25,5",10,"99,88 mill. €"
68,3.0,1.FC Köln,//tmssl.akamaized.net//images/wappen/head/3.png?lm=1396275280,24,"25,7",9,"93,80 mill. €"
69,3.0,Hertha Berlin,//tmssl.akamaized.net//images/wappen/head/44.png?lm=1481836362,26,26,13,"84,55 mill. €"
70,3.0,1.FSV Mainz 05,//tmssl.akamaized.net//images/wappen/head/39.png?lm=1403085834,30,"24,5",17,"77,23 mill. €"
71,3.0,Hamburgo SV,//tmssl.akamaized.net//images/wappen/head/41.png?lm=1403162717,31,"24,5",14,"76,75 mill. €"
72,3.0,SV Werder Bremen,//tmssl.akamaized.net//images/wappen/head/86.png?lm=1403082298,32,"26,2",17,"68,80 mill. €"
73,3.0,Eintracht de Francfort,//tmssl.akamaized.net//images/wappen/head/24.png?lm=1403806187,31,"24,6",19,"67,75 mill. €"
74,3.0,FC Augsburg,//tmssl.akamaized.net//images/wappen/head/167.png?lm=1403085893,30,"27,1",17,"62,28 mill. €"
75,3.0,SC Freiburg,//tmssl.akamaized.net//images/wappen/head/60.png?lm=1423218077,27,"25,9",10,"52,28 mill. €"
76,3.0,FC Ingolstadt 04,//tmssl.akamaized.net//images/wappen/head/4795.png?lm=1482665720,26,"25,6",14,"35,30 mill. €"
77,3.0,SV Darmstadt 98,//tmssl.akamaized.net//images/wappen/head/105.png?lm=1486070332,31,"26,8",12,"22,25 mill. €"
78,4.0,FC Paris Saint-Germain,//tmssl.akamaized.net//images/wappen/head/583.png?lm=1464899851,25,"25,6",16,"455,90 mill. €"
79,4.0,Olympique Lyonnais,//tmssl.akamaized.net//images/wappen/head/1041.png?lm=1442954751,26,"24,6",8,"200,80 mill. €"
80,4.0,AS Monaco,//tmssl.akamaized.net//images/wappen/head/162.png?lm=1463176069,25,"24,9",25,"197,80 mill. €"
81,4.0,OGC Nice,//tmssl.akamaized.net//images/wappen/head/417.png?lm=1408779490,30,24,11,"114,18 mill. €"
82,4.0,Olympique de Marseille,//tmssl.akamaized.net//images/wappen/head/244.png?lm=1485642163,30,"25,8",12,"108,90 mill. €"
83,4.0,AS Saint-Étienne,//tmssl.akamaized.net//images/wappen/head/618.png?lm=1408778971,28,26,10,"77,80 mill. €"
84,4.0,FC Girondins de Bordeaux,//tmssl.akamaized.net//images/wappen/head/40.png?lm=1408779366,27,"25,2",16,"68,05 mill. €"
85,4.0,Toulouse FC,//tmssl.akamaized.net//images/wappen/head/415.png?lm=1408779599,30,"24,6",16,"65,35 mill. €"
86,4.0,LOSC Lille Métropole,//tmssl.akamaized.net//images/wappen/head/1082.png?lm=1406739677,25,"25,2",14,"54,75 mill. €"
87,4.0,Stade Rennais FC,//tmssl.akamaized.net//images/wappen/head/273.png?lm=1408779098,30,"25,6",13,"52,90 mill. €"
88,4.0,FC Lorient,//tmssl.akamaized.net//images/wappen/head/1158.png?lm=1406642498,30,"25,9",11,"46,60 mill. €"
89,4.0,FC Nantes,//tmssl.akamaized.net//images/wappen/head/995.png?lm=1459072377,27,"24,7",15,"43,80 mill. €"
90,4.0,SCO Angers,//tmssl.akamaized.net//images/wappen/head/1420.png?lm=1408780502,30,"27,1",14,"40,35 mill. €"
91,4.0,Montpellier Hérault SC,//tmssl.akamaized.net//images/wappen/head/969.png?lm=1459072367,26,"26,4",13,"38,30 mill. €"
